[4] eval det::gradient 5_run0 , 0.000238136 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000267719 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000220479 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000364889 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000233545 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000255450 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000247063 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000250041 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000261361 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000240933 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000230786 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000276572 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000262170 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000230159 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000259212 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000235005 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000213944 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.001348833 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.001367019 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.001353649 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.001455218 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.001383656 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.001477062 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.001379477 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.001431948 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.001331603 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.001355502 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.001683522 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.001389632 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.001734783 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.002175037 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.001882893 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.001360019 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.001371473 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.010275203 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.012258151 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.012529768 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.010996211 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.009284428 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.009448509 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.012471000 s evaluate ✓
