[4] eval det::gradient 5_run0 , 0.000000 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000000 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000000 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000000 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000000 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000000 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000000 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000000 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000000 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000000 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000000 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000000 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000000 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000000 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000000 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000000 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000000 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000000 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000000 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000000 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000000 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000000 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000000 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000000 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000000 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.000000 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000000 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.000000 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000000 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000000 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.000000 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000000 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000000 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000000 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.003000 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.002000 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.002000 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.002000 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.023000 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.004000 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.002000 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.003000 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.003000 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.003000 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.003000 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.003000 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.005000 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.004000 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.003000 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.003000 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.003000 s evaluate ✓
[208] eval det::gradient 8_run0 , 3.312000 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.024000 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.019000 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.020000 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.079000 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.030000 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.020000 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.077000 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.021000 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.054000 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.027000 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.022000 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.028000 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.028000 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.040000 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.033000 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.025000 s evaluate ✓
[276] eval det::gradient 9_run0 , 3.885000 s evaluate ✓
[280] eval det::gradient 9_run1 , 1.682000 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.190000 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.353000 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.263000 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.818000 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.225000 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.745000 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.285000 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.230000 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.232000 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.214000 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.202000 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.517000 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.298000 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.228000 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.164000 s evaluate ✓
[344] eval det::gradient 10_run0 , 251.780000 s evaluate ✓
[348] eval det::gradient 10_run1 , 4.249000 s evaluate ✓
[352] eval det::gradient 10_run2 , 4.221000 s evaluate ✓
[356] eval det::gradient 10_run3 , 4.806000 s evaluate ✓
[360] eval det::gradient 10_run4 , 93.905000 s evaluate ✓
[364] eval det::gradient 10_run5 , 40.251000 s evaluate ✓
[368] eval det::gradient 10_run6 , 3.703000 s evaluate ✓
[372] eval det::gradient 10_run7 , 8.879000 s evaluate ✓
[376] eval det::gradient 10_run8 , 4.245000 s evaluate ✓
[380] eval det::gradient 10_run9 , 3.044000 s evaluate ✓
[384] eval det::gradient 10_run10 , 2.796000 s evaluate ✓
[388] eval det::gradient 10_run11 , 4.339000 s evaluate ✓
[392] eval det::gradient 10_run12 , 2.175000 s evaluate ✓
[396] eval det::gradient 10_run13 , 5.526000 s evaluate ✓
[400] eval det::gradient 10_run14 , 27.709000 s evaluate ✓
[404] eval det::gradient 10_run15 , 2.502000 s evaluate ✓
[408] eval det::gradient 10_run16 , 2.867000 s evaluate ✓
