[4] eval gmm::jacobian 2_2_1000 , 0.003814991 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.004954446 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.005530746 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.006926809 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.008961148 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.008000000 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.009413257 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.011234761 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.009654192 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.014537056 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.011551835 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.013767292 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.019895790 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.015086481 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.017774333 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.019786052 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.043291517 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.023813216 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.018383875 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.020987654 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.031719278 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.048165945 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.035061602 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.034416498 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.045165404 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.073552885 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.024892605 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.115888889 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.027448357 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.029783598 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.056008309 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.078358025 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.059274148 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.097043290 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.167418519 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.065101852 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.033802059 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.036910046 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.060958696 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.056239035 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.097166667 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.047696976 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.088234188 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.093527778 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.154208333 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.039600837 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.056894532 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.080009091 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.188246032 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.058247743 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.063776786 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.076992857 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.094567366 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.146375000 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.123236111 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.248066667 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.216811111 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.086073260 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.145281385 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.077602742 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.112535354 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.170492063 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.193166667 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 0.298833333 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.115905303 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.150777778 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 0.277500000 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.434444444 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.134424908 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.137152116 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.134333333 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.275783333 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 0.504638889 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.128564815 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.151779762 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.212733333 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.263950000 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.387055556 s evaluate ✓
