[4] eval det::gradient 5_run0 , 0.000046292 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000057668 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000116395 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000056461 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000047224 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000050793 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000070037 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000050451 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000090926 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000055439 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000123243 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000047993 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000051118 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000089049 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000148491 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000049818 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000129981 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000308871 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000196473 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000189715 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000195650 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000285527 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000174657 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000259182 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000202233 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.000176286 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000556937 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.000238241 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000173828 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000189106 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.000182029 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000286656 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000194803 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000177216 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.001104382 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.000983901 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.001034213 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.001081866 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.001092408 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.001262652 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.001032806 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.001197955 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.001035325 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.001274925 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.001010408 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.001019617 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.001032723 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.001001831 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.000969602 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.000960875 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.001064226 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.008490897 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.009510848 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.007755235 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.007963764 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.008536300 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.010655637 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.012901906 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.010091528 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.008811248 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.008803574 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.008476343 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.008267036 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.007984778 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.007770645 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.008386861 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.008508753 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.008559199 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.097000000 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.099183502 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.101603030 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.099027778 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.102819444 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.093811111 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.091282828 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.098136364 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.105671380 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.097709091 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.091747475 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.101542088 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.112860690 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.096283838 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.093777778 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.091931818 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.100524242 s evaluate ✓
[344] eval det::gradient 10_run0 , 4.499333333 s evaluate ✓
[348] eval det::gradient 10_run1 , 1.939333333 s evaluate ✓
[352] eval det::gradient 10_run2 , 1.292333333 s evaluate ✓
[356] eval det::gradient 10_run3 , 2.594666667 s evaluate ✓
[360] eval det::gradient 10_run4 , 1.480666667 s evaluate ✓
[364] eval det::gradient 10_run5 , 1.414666667 s evaluate ✓
[368] eval det::gradient 10_run6 , 1.301333333 s evaluate ✓
[372] eval det::gradient 10_run7 , 1.491000000 s evaluate ✓
[376] eval det::gradient 10_run8 , 1.437333333 s evaluate ✓
[380] eval det::gradient 10_run9 , 1.452000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 1.661000000 s evaluate ✓
[388] eval det::gradient 10_run11 , 1.267000000 s evaluate ✓
[392] eval det::gradient 10_run12 , 1.566666667 s evaluate ✓
[396] eval det::gradient 10_run13 , 1.339666667 s evaluate ✓
[400] eval det::gradient 10_run14 , 1.334000000 s evaluate ✓
[404] eval det::gradient 10_run15 , 1.460333333 s evaluate ✓
[408] eval det::gradient 10_run16 , 1.401333333 s evaluate ✓
