[4] eval det::gradient 5_run0 , 0.000048726 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000036390 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000028962 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000024751 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000028383 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000024538 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000027438 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000029583 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000046139 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000027432 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000024771 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000026244 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000033300 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000026194 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000027923 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000026779 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000026833 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000098465 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000099414 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000097235 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000104484 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000097705 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000114150 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000110955 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000106786 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.000114390 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000099898 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.000115265 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000106429 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000097920 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.000095394 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000098805 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000101875 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000097004 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.000683760 s evaluate ✓
