[4] eval det::gradient 5_run0 , 0.000017359 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000014243 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000015789 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000017678 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000015263 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000016452 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000015358 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000020777 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000016879 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000014742 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000016284 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000015615 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000017312 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000014951 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000027964 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000026424 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000024779 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000067432 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000075563 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000070916 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000067097 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000080229 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000068497 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000070374 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000068570 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.000067060 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000067137 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.000068326 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000077097 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000072813 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.000063846 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000067590 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000062977 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000063697 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.000482932 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.000426802 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.000491648 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.000425191 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.000578845 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.000524030 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.000456169 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.000493389 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.000901651 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.001092230 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.000804485 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.000555511 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.000480019 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.000436665 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.000540254 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.000407684 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.000459686 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.003685489 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.003456633 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.004709326 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.004560867 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.003885620 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.004154724 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.004013688 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.003726064 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.003535416 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.003496322 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.003693887 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.004281081 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.003593976 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.003921158 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.004846390 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.003954506 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.004188570 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.033215729 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.033475397 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.035293968 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.038008645 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.033539017 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.032623347 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.031806716 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.033347662 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.035349518 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.032478355 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.031711458 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.033409962 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.031887009 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.038516526 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.033011607 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.035290699 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.034962374 s evaluate ✓
[344] eval det::gradient 10_run0 , 0.366138889 s evaluate ✓
[348] eval det::gradient 10_run1 , 0.363500000 s evaluate ✓
[352] eval det::gradient 10_run2 , 0.373250000 s evaluate ✓
[356] eval det::gradient 10_run3 , 0.376750000 s evaluate ✓
[360] eval det::gradient 10_run4 , 0.338166667 s evaluate ✓
[364] eval det::gradient 10_run5 , 0.359694444 s evaluate ✓
[368] eval det::gradient 10_run6 , 0.421250000 s evaluate ✓
[372] eval det::gradient 10_run7 , 0.418666667 s evaluate ✓
[376] eval det::gradient 10_run8 , 0.338750000 s evaluate ✓
