[4] eval det::gradient 5_run0 , 0.000062441 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000053956 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000067536 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000057947 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000060888 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000057120 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000055954 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000053064 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000052428 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000052937 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000062088 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000073321 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000054497 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000060857 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000054453 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000060689 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000054087 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000336660 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000312850 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000303326 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000270514 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000289504 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000298752 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000305813 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000268450 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.000295337 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000449392 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.000287061 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000262697 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000279474 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.000274806 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000268578 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000270125 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000269652 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.001889975 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.001905313 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.001911044 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.002302836 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.001936422 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.001910384 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.002162348 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.002106096 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.001950128 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.001909763 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.002325939 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.002422873 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.002439114 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.001886750 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.001895983 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.001916565 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.001870212 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.016360054 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.014865266 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.015196457 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.015160061 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.014709079 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.015252131 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.014762646 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.015671752 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.015879080 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.014736347 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.015017974 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.014648624 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.014873293 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.016446772 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.017199780 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.016848736 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.015802717 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.158523810 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.143577381 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.204716667 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.142113095 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.135250000 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.134958333 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.173535714 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.144505952 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.142125000 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.138845238 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.147402778 s evaluate ✓
