[4] eval det::gradient 5_run0 , 0.000029140 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000029962 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000027115 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000027970 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000028864 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000034438 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000026576 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000028391 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000027461 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000029475 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000026032 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000026001 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000028274 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000030964 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000026095 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000025340 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000031533 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000157007 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000165541 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000154961 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000159518 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000151513 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000149098 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000156434 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000148725 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.000171597 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000151163 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.000158569 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000151206 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000171919 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.000179332 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000148786 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000154323 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000148676 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.001297172 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.001094921 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.001182212 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.001078038 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.001203427 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.001133739 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.001175008 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.001249971 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.001249547 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.001124786 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.001148773 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.001205055 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.001085914 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.001097843 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.001188736 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.001103988 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.001172859 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.011819029 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.012140425 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.011800238 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.012908414 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.011530730 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.017634598 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.012896542 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.011401101 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.011189723 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.011138341 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.011030142 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.012327127 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.011245280 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.011650025 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.011026718 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.011311923 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.011379775 s evaluate ✓
[276] eval det::gradient 9_run0 , 0.110433333 s evaluate ✓
[280] eval det::gradient 9_run1 , 0.124166667 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.110900000 s evaluate ✓
[288] eval det::gradient 9_run3 , 0.125316667 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.120725000 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.117637037 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.120091667 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.110866667 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.115048148 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.111833333 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.120491667 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.110400000 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.120422222 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.116888889 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.112166667 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.112825926 s evaluate ✓
