[4] eval gmm::jacobian 2_2_1000 , 0.001953241 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.002726972 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.004154573 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.004640413 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.004759434 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.004575393 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.004169878 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.006276864 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.005391777 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.011483974 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.005916290 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.007622604 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.011317916 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.010041811 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.006941475 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.010350427 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.016764709 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.009330930 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.009071293 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.009278807 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.012886751 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.036148390 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.014150358 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.018365410 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.024545935 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.040008685 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.010662553 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.058318394 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.011442398 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.012396581 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.016084297 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.029135641 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.022691990 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.033584065 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.087027778 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.034842836 s evaluate ✓
