[4] eval gmm::jacobian 2_2_1000 , 0.000636519 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.001198240 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.001409050 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.001725261 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.002087798 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.002124729 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.002889834 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.004360555 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.003314055 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.006794490 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.005251105 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.006879196 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.008176703 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.005289461 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.006141726 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.009363882 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.022222973 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.008802427 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.007716185 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.009753944 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.018483614 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.029222754 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.010688875 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.020504661 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.022586278 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.045033036 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.007491886 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.065947786 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.009767162 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.013012635 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.017957927 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.045215389 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.033610573 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.062535417 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.120561742 s evaluate ✓
