[4] eval gmm::jacobian 2_2_1000 , 0.000885093 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.002170455 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.001784539 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.003613052 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.007932537 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.005381642 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.004756133 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.007922359 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.004343452 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.008477437 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.006218495 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.008871013 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.015498076 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.006380624 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.009260784 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.013211676 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.028191052 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.011862371 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.008277562 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.010399128 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.022616504 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.031544388 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.015050745 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.017176771 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.024468975 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.067239683 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.010035994 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.064481481 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.013188754 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.015455496 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.019551782 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.025583542 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.029942655 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.042805195 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.092336691 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.044099261 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.023790668 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.021308215 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.030283987 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.045478554 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.093956083 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.036688552 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.066122334 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.104642857 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.168513889 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.032629049 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.034211914 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.068162424 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.220948148 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.043348890 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.062406261 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.090130837 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.111698880 s evaluate ✓
