[4] eval gmm::jacobian 2_2_1000 , 0.012767988 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.028168793 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.030150427 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.033938751 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.035596256 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.051256410 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.069268519 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.059799538 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.063952469 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.107954762 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.078755331 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.067963077 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.133666667 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.096983045 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.105828571 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.117074930 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.203285354 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.114595238 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.098870370 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.121705882 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.170727778 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.307630952 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.140618437 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.159348485 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.225512963 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.534577778 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.122233516 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.672916667 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.177744444 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.156611111 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.194886111 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.242000000 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.311958333 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.437111111 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.778666667 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.480944444 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.224603704 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.201625926 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.295011111 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.343277778 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.765333333 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.285079365 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.475033333 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.619777778 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.920333333 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.272757937 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.360892857 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.513222222 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 1.220333333 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.406666667 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.410500000 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.489166667 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.666750000 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 1.273777778 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 1.315555556 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 1.874666667 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 1.689666667 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.647000000 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.581250000 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.477700000 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.779666667 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 1.114333333 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 1.596833333 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 1.777833333 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.632083333 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 1.100611111 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 1.877000000 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 2.411333333 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.512833333 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.672611111 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 1.199333333 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 1.562833333 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 2.375333333 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.714388889 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.770055556 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 1.242000000 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 1.446500000 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 2.160000000 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 1.164166667 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 2.821666667 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 3.047000000 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 1.264500000 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 1.195666667 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 1.352500000 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 2.113333333 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 1.474000000 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 2.256666667 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 3.567666667 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 1.891333333 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 3.333000000 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 1.571166667 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 1.581000000 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 2.321666667 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 3.287666667 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 3.782666667 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 2.873666667 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 3.291666667 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 3.842666667 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 5.666000000 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 3.110666667 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 3.389666667 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 5.856000000 s evaluate ✓
