[4] eval gmm::jacobian 2_2_1000 , 0.000745301 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.001213076 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.001392779 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.002144421 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.002851396 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.002649783 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.002624832 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.005537392 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.002729358 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.006602201 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.002909961 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.006891361 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.006744504 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.004536699 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.004220414 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.015738938 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.009427453 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.007342803 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.006671592 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.004852914 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.013828683 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.013093895 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.013106914 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.017469062 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.013565576 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.015874153 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.007414554 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.020819959 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.007809880 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.007107759 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.014648334 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.018037132 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.022149066 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.018155870 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.025763622 s evaluate ✓
