[4] eval llsq::gradient n=16,m=16 , 0.000040155 s evaluate ✓
[8] eval llsq::gradient n=16,m=32 , 0.000034971 s evaluate ✓
[12] eval llsq::gradient n=32,m=16 , 0.000037543 s evaluate ✓
[16] eval llsq::gradient n=16,m=48 , 0.000066688 s evaluate ✓
[20] eval llsq::gradient n=16,m=64 , 0.000058087 s evaluate ✓
[24] eval llsq::gradient n=32,m=32 , 0.000071229 s evaluate ✓
[28] eval llsq::gradient n=64,m=16 , 0.000068045 s evaluate ✓
[32] eval llsq::gradient n=16,m=80 , 0.000107251 s evaluate ✓
[36] eval llsq::gradient n=16,m=96 , 0.000189442 s evaluate ✓
[40] eval llsq::gradient n=32,m=48 , 0.000128311 s evaluate ✓
[44] eval llsq::gradient n=16,m=112 , 0.000130042 s evaluate ✓
[48] eval llsq::gradient n=16,m=128 , 0.000251586 s evaluate ✓
[52] eval llsq::gradient n=32,m=64 , 0.000117676 s evaluate ✓
[56] eval llsq::gradient n=64,m=32 , 0.000142834 s evaluate ✓
[60] eval llsq::gradient n=128,m=16 , 0.000129674 s evaluate ✓
[64] eval llsq::gradient n=16,m=144 , 0.000219874 s evaluate ✓
[68] eval llsq::gradient n=16,m=160 , 0.000192678 s evaluate ✓
[72] eval llsq::gradient n=32,m=80 , 0.000199486 s evaluate ✓
[76] eval llsq::gradient n=32,m=96 , 0.000217594 s evaluate ✓
[80] eval llsq::gradient n=64,m=48 , 0.000230047 s evaluate ✓
[84] eval llsq::gradient n=32,m=112 , 0.000516362 s evaluate ✓
[88] eval llsq::gradient n=32,m=128 , 0.000326048 s evaluate ✓
[92] eval llsq::gradient n=64,m=64 , 0.000247846 s evaluate ✓
[96] eval llsq::gradient n=128,m=32 , 0.000262309 s evaluate ✓
[100] eval llsq::gradient n=256,m=16 , 0.000280404 s evaluate ✓
[104] eval llsq::gradient n=32,m=144 , 0.000415197 s evaluate ✓
[108] eval llsq::gradient n=32,m=160 , 0.000423262 s evaluate ✓
[112] eval llsq::gradient n=64,m=80 , 0.000454765 s evaluate ✓
[116] eval llsq::gradient n=64,m=96 , 0.000627082 s evaluate ✓
[120] eval llsq::gradient n=128,m=48 , 0.000777562 s evaluate ✓
[124] eval llsq::gradient n=64,m=112 , 0.000686668 s evaluate ✓
[128] eval llsq::gradient n=64,m=128 , 0.000651479 s evaluate ✓
[132] eval llsq::gradient n=128,m=64 , 0.000537541 s evaluate ✓
[136] eval llsq::gradient n=256,m=32 , 0.000508703 s evaluate ✓
[140] eval llsq::gradient n=512,m=16 , 0.000583755 s evaluate ✓
[144] eval llsq::gradient n=64,m=144 , 0.000797485 s evaluate ✓
[148] eval llsq::gradient n=64,m=160 , 0.000905709 s evaluate ✓
[152] eval llsq::gradient n=128,m=80 , 0.000906665 s evaluate ✓
[156] eval llsq::gradient n=128,m=96 , 0.001237837 s evaluate ✓
[160] eval llsq::gradient n=256,m=48 , 0.001057488 s evaluate ✓
[164] eval llsq::gradient n=128,m=112 , 0.001196963 s evaluate ✓
[168] eval llsq::gradient n=128,m=128 , 0.001552420 s evaluate ✓
[172] eval llsq::gradient n=256,m=64 , 0.001015515 s evaluate ✓
[176] eval llsq::gradient n=512,m=32 , 0.001057588 s evaluate ✓
[180] eval llsq::gradient n=1024,m=16 , 0.001297803 s evaluate ✓
[184] eval llsq::gradient n=128,m=144 , 0.001799226 s evaluate ✓
[188] eval llsq::gradient n=128,m=160 , 0.001699003 s evaluate ✓
[192] eval llsq::gradient n=256,m=80 , 0.001991873 s evaluate ✓
[196] eval llsq::gradient n=256,m=96 , 0.002571882 s evaluate ✓
[200] eval llsq::gradient n=512,m=48 , 0.002141717 s evaluate ✓
[204] eval llsq::gradient n=256,m=112 , 0.002610835 s evaluate ✓
[208] eval llsq::gradient n=256,m=128 , 0.003062184 s evaluate ✓
[212] eval llsq::gradient n=512,m=64 , 0.002190350 s evaluate ✓
[216] eval llsq::gradient n=1024,m=32 , 0.002277121 s evaluate ✓
[220] eval llsq::gradient n=2048,m=16 , 0.002802481 s evaluate ✓
[224] eval llsq::gradient n=256,m=144 , 0.003048940 s evaluate ✓
[228] eval llsq::gradient n=256,m=160 , 0.003594523 s evaluate ✓
[232] eval llsq::gradient n=512,m=80 , 0.003273053 s evaluate ✓
[236] eval llsq::gradient n=512,m=96 , 0.003926941 s evaluate ✓
[240] eval llsq::gradient n=1024,m=48 , 0.004507883 s evaluate ✓
[244] eval llsq::gradient n=512,m=112 , 0.004655282 s evaluate ✓
[248] eval llsq::gradient n=512,m=128 , 0.005613280 s evaluate ✓
[252] eval llsq::gradient n=1024,m=64 , 0.004438700 s evaluate ✓
[256] eval llsq::gradient n=2048,m=32 , 0.004554134 s evaluate ✓
[260] eval llsq::gradient n=4096,m=16 , 0.004755906 s evaluate ✓
[264] eval llsq::gradient n=512,m=144 , 0.005972205 s evaluate ✓
[268] eval llsq::gradient n=512,m=160 , 0.006377483 s evaluate ✓
[272] eval llsq::gradient n=1024,m=80 , 0.006865540 s evaluate ✓
[276] eval llsq::gradient n=1024,m=96 , 0.007987421 s evaluate ✓
[280] eval llsq::gradient n=2048,m=48 , 0.008345437 s evaluate ✓
