[4] eval llsq::gradient n=16,m=16 , 0.000053997 s evaluate ✓
[8] eval llsq::gradient n=16,m=32 , 0.000041675 s evaluate ✓
[12] eval llsq::gradient n=32,m=16 , 0.000066720 s evaluate ✓
[16] eval llsq::gradient n=16,m=48 , 0.000104811 s evaluate ✓
[20] eval llsq::gradient n=16,m=64 , 0.000073495 s evaluate ✓
[24] eval llsq::gradient n=32,m=32 , 0.000076224 s evaluate ✓
[28] eval llsq::gradient n=64,m=16 , 0.000071254 s evaluate ✓
[32] eval llsq::gradient n=16,m=80 , 0.000071504 s evaluate ✓
[36] eval llsq::gradient n=16,m=96 , 0.000068476 s evaluate ✓
[40] eval llsq::gradient n=32,m=48 , 0.000090952 s evaluate ✓
[44] eval llsq::gradient n=16,m=112 , 0.000162452 s evaluate ✓
[48] eval llsq::gradient n=16,m=128 , 0.000093674 s evaluate ✓
[52] eval llsq::gradient n=32,m=64 , 0.000075341 s evaluate ✓
[56] eval llsq::gradient n=64,m=32 , 0.000081326 s evaluate ✓
[60] eval llsq::gradient n=128,m=16 , 0.000136974 s evaluate ✓
[64] eval llsq::gradient n=16,m=144 , 0.000278740 s evaluate ✓
[68] eval llsq::gradient n=16,m=160 , 0.000109965 s evaluate ✓
[72] eval llsq::gradient n=32,m=80 , 0.000105262 s evaluate ✓
[76] eval llsq::gradient n=32,m=96 , 0.000132835 s evaluate ✓
[80] eval llsq::gradient n=64,m=48 , 0.000129615 s evaluate ✓
[84] eval llsq::gradient n=32,m=112 , 0.000159683 s evaluate ✓
[88] eval llsq::gradient n=32,m=128 , 0.000154683 s evaluate ✓
[92] eval llsq::gradient n=64,m=64 , 0.000185436 s evaluate ✓
[96] eval llsq::gradient n=128,m=32 , 0.000192897 s evaluate ✓
[100] eval llsq::gradient n=256,m=16 , 0.000249436 s evaluate ✓
[104] eval llsq::gradient n=32,m=144 , 0.000173758 s evaluate ✓
[108] eval llsq::gradient n=32,m=160 , 0.000173287 s evaluate ✓
[112] eval llsq::gradient n=64,m=80 , 0.000199785 s evaluate ✓
[116] eval llsq::gradient n=64,m=96 , 0.000272551 s evaluate ✓
[120] eval llsq::gradient n=128,m=48 , 0.000277449 s evaluate ✓
[124] eval llsq::gradient n=64,m=112 , 0.000277160 s evaluate ✓
[128] eval llsq::gradient n=64,m=128 , 0.000273297 s evaluate ✓
[132] eval llsq::gradient n=128,m=64 , 0.000274547 s evaluate ✓
[136] eval llsq::gradient n=256,m=32 , 0.000330881 s evaluate ✓
[140] eval llsq::gradient n=512,m=16 , 0.000326068 s evaluate ✓
[144] eval llsq::gradient n=64,m=144 , 0.000279751 s evaluate ✓
[148] eval llsq::gradient n=64,m=160 , 0.000356833 s evaluate ✓
[152] eval llsq::gradient n=128,m=80 , 0.000401415 s evaluate ✓
[156] eval llsq::gradient n=128,m=96 , 0.000501319 s evaluate ✓
[160] eval llsq::gradient n=256,m=48 , 0.000730607 s evaluate ✓
[164] eval llsq::gradient n=128,m=112 , 0.000542876 s evaluate ✓
[168] eval llsq::gradient n=128,m=128 , 0.000596955 s evaluate ✓
[172] eval llsq::gradient n=256,m=64 , 0.000541875 s evaluate ✓
[176] eval llsq::gradient n=512,m=32 , 0.000641130 s evaluate ✓
[180] eval llsq::gradient n=1024,m=16 , 0.000784470 s evaluate ✓
[184] eval llsq::gradient n=128,m=144 , 0.000516928 s evaluate ✓
[188] eval llsq::gradient n=128,m=160 , 0.000678904 s evaluate ✓
[192] eval llsq::gradient n=256,m=80 , 0.000945230 s evaluate ✓
[196] eval llsq::gradient n=256,m=96 , 0.001267405 s evaluate ✓
[200] eval llsq::gradient n=512,m=48 , 0.001692372 s evaluate ✓
[204] eval llsq::gradient n=256,m=112 , 0.001476299 s evaluate ✓
[208] eval llsq::gradient n=256,m=128 , 0.001820907 s evaluate ✓
[212] eval llsq::gradient n=512,m=64 , 0.002038688 s evaluate ✓
[216] eval llsq::gradient n=1024,m=32 , 0.001879513 s evaluate ✓
[220] eval llsq::gradient n=2048,m=16 , 0.002037051 s evaluate ✓
[224] eval llsq::gradient n=256,m=144 , 0.002390020 s evaluate ✓
[228] eval llsq::gradient n=256,m=160 , 0.001641850 s evaluate ✓
[232] eval llsq::gradient n=512,m=80 , 0.001488025 s evaluate ✓
[236] eval llsq::gradient n=512,m=96 , 0.001454023 s evaluate ✓
[240] eval llsq::gradient n=1024,m=48 , 0.001499034 s evaluate ✓
[244] eval llsq::gradient n=512,m=112 , 0.001732647 s evaluate ✓
[248] eval llsq::gradient n=512,m=128 , 0.001954919 s evaluate ✓
[252] eval llsq::gradient n=1024,m=64 , 0.002484784 s evaluate ✓
[256] eval llsq::gradient n=2048,m=32 , 0.002149462 s evaluate ✓
[260] eval llsq::gradient n=4096,m=16 , 0.002787074 s evaluate ✓
[264] eval llsq::gradient n=512,m=144 , 0.002061722 s evaluate ✓
[268] eval llsq::gradient n=512,m=160 , 0.002503114 s evaluate ✓
[272] eval llsq::gradient n=1024,m=80 , 0.002572747 s evaluate ✓
[276] eval llsq::gradient n=1024,m=96 , 0.003081213 s evaluate ✓
[280] eval llsq::gradient n=2048,m=48 , 0.005624739 s evaluate ✓
[284] eval llsq::gradient n=1024,m=112 , 0.004036491 s evaluate ✓
[288] eval llsq::gradient n=1024,m=128 , 0.004688268 s evaluate ✓
[292] eval llsq::gradient n=2048,m=64 , 0.004633103 s evaluate ✓
[296] eval llsq::gradient n=4096,m=32 , 0.004804797 s evaluate ✓
[300] eval llsq::gradient n=8192,m=16 , 0.006606386 s evaluate ✓
[304] eval llsq::gradient n=1024,m=144 , 0.005153012 s evaluate ✓
[308] eval llsq::gradient n=1024,m=160 , 0.006169793 s evaluate ✓
[312] eval llsq::gradient n=2048,m=80 , 0.006772681 s evaluate ✓
[316] eval llsq::gradient n=2048,m=96 , 0.007045259 s evaluate ✓
[320] eval llsq::gradient n=4096,m=48 , 0.009157429 s evaluate ✓
[324] eval llsq::gradient n=2048,m=112 , 0.008857225 s evaluate ✓
[328] eval llsq::gradient n=2048,m=128 , 0.012783442 s evaluate ✓
[332] eval llsq::gradient n=4096,m=64 , 0.010027378 s evaluate ✓
[336] eval llsq::gradient n=8192,m=32 , 0.010907071 s evaluate ✓
[340] eval llsq::gradient n=16385,m=16 , 0.015191436 s evaluate ✓
[344] eval llsq::gradient n=2048,m=144 , 0.014587463 s evaluate ✓
[348] eval llsq::gradient n=2048,m=160 , 0.014840509 s evaluate ✓
[352] eval llsq::gradient n=4096,m=80 , 0.013700519 s evaluate ✓
[356] eval llsq::gradient n=4096,m=96 , 0.015156040 s evaluate ✓
[360] eval llsq::gradient n=8192,m=48 , 0.016335768 s evaluate ✓
[364] eval llsq::gradient n=4096,m=112 , 0.019726457 s evaluate ✓
[368] eval llsq::gradient n=4096,m=128 , 0.031211872 s evaluate ✓
[372] eval llsq::gradient n=8192,m=64 , 0.027840206 s evaluate ✓
[376] eval llsq::gradient n=16385,m=32 , 0.030114749 s evaluate ✓
[380] eval llsq::gradient n=4096,m=144 , 0.032981496 s evaluate ✓
[384] eval llsq::gradient n=4096,m=160 , 0.035995269 s evaluate ✓
[388] eval llsq::gradient n=8192,m=80 , 0.047952564 s evaluate ✓
[392] eval llsq::gradient n=8192,m=96 , 0.048175021 s evaluate ✓
[396] eval llsq::gradient n=16385,m=48 , 0.062914623 s evaluate ✓
[400] eval llsq::gradient n=8192,m=112 , 0.047973085 s evaluate ✓
[404] eval llsq::gradient n=8192,m=128 , 0.060908480 s evaluate ✓
[408] eval llsq::gradient n=16385,m=64 , 0.061482571 s evaluate ✓
[412] eval llsq::gradient n=8192,m=144 , 0.070899346 s evaluate ✓
[416] eval llsq::gradient n=8192,m=160 , 0.080625081 s evaluate ✓
[420] eval llsq::gradient n=16385,m=80 , 0.121936508 s evaluate ✓
[424] eval llsq::gradient n=16385,m=96 , 0.119669516 s evaluate ✓
[428] eval llsq::gradient n=16385,m=112 , 0.132177778 s evaluate ✓
[432] eval llsq::gradient n=16385,m=128 , 0.127100000 s evaluate ✓
[436] eval llsq::gradient n=16385,m=144 , 0.147946429 s evaluate ✓
[440] eval llsq::gradient n=16385,m=160 , 0.201847222 s evaluate ✓
