[4] eval llsq::gradient n=16,m=16 , 0.000046105 s evaluate ✓
[8] eval llsq::gradient n=16,m=32 , 0.000027881 s evaluate ✓
[12] eval llsq::gradient n=32,m=16 , 0.000027136 s evaluate ✓
[16] eval llsq::gradient n=16,m=48 , 0.000035029 s evaluate ✓
[20] eval llsq::gradient n=16,m=64 , 0.000038653 s evaluate ✓
[24] eval llsq::gradient n=32,m=32 , 0.000040751 s evaluate ✓
[28] eval llsq::gradient n=64,m=16 , 0.000038410 s evaluate ✓
[32] eval llsq::gradient n=16,m=80 , 0.000047013 s evaluate ✓
[36] eval llsq::gradient n=16,m=96 , 0.000088989 s evaluate ✓
[40] eval llsq::gradient n=32,m=48 , 0.000061320 s evaluate ✓
[44] eval llsq::gradient n=16,m=112 , 0.000080096 s evaluate ✓
[48] eval llsq::gradient n=16,m=128 , 0.000073110 s evaluate ✓
[52] eval llsq::gradient n=32,m=64 , 0.000067169 s evaluate ✓
[56] eval llsq::gradient n=64,m=32 , 0.000065744 s evaluate ✓
[60] eval llsq::gradient n=128,m=16 , 0.000082194 s evaluate ✓
[64] eval llsq::gradient n=16,m=144 , 0.000153252 s evaluate ✓
[68] eval llsq::gradient n=16,m=160 , 0.000178567 s evaluate ✓
[72] eval llsq::gradient n=32,m=80 , 0.000124761 s evaluate ✓
[76] eval llsq::gradient n=32,m=96 , 0.000134314 s evaluate ✓
[80] eval llsq::gradient n=64,m=48 , 0.000183889 s evaluate ✓
[84] eval llsq::gradient n=32,m=112 , 0.000294303 s evaluate ✓
[88] eval llsq::gradient n=32,m=128 , 0.000146059 s evaluate ✓
[92] eval llsq::gradient n=64,m=64 , 0.000129148 s evaluate ✓
[96] eval llsq::gradient n=128,m=32 , 0.000201710 s evaluate ✓
[100] eval llsq::gradient n=256,m=16 , 0.000173168 s evaluate ✓
[104] eval llsq::gradient n=32,m=144 , 0.000194236 s evaluate ✓
[108] eval llsq::gradient n=32,m=160 , 0.000178289 s evaluate ✓
[112] eval llsq::gradient n=64,m=80 , 0.000186154 s evaluate ✓
[116] eval llsq::gradient n=64,m=96 , 0.000328571 s evaluate ✓
[120] eval llsq::gradient n=128,m=48 , 0.000282779 s evaluate ✓
[124] eval llsq::gradient n=64,m=112 , 0.000332410 s evaluate ✓
[128] eval llsq::gradient n=64,m=128 , 0.000463199 s evaluate ✓
[132] eval llsq::gradient n=128,m=64 , 0.000382153 s evaluate ✓
[136] eval llsq::gradient n=256,m=32 , 0.000268086 s evaluate ✓
[140] eval llsq::gradient n=512,m=16 , 0.000288243 s evaluate ✓
[144] eval llsq::gradient n=64,m=144 , 0.000348069 s evaluate ✓
[148] eval llsq::gradient n=64,m=160 , 0.000413775 s evaluate ✓
[152] eval llsq::gradient n=128,m=80 , 0.000368376 s evaluate ✓
[156] eval llsq::gradient n=128,m=96 , 0.000376254 s evaluate ✓
[160] eval llsq::gradient n=256,m=48 , 0.000523891 s evaluate ✓
[164] eval llsq::gradient n=128,m=112 , 0.000557468 s evaluate ✓
[168] eval llsq::gradient n=128,m=128 , 0.000527876 s evaluate ✓
[172] eval llsq::gradient n=256,m=64 , 0.000504340 s evaluate ✓
[176] eval llsq::gradient n=512,m=32 , 0.000625021 s evaluate ✓
[180] eval llsq::gradient n=1024,m=16 , 0.000675383 s evaluate ✓
[184] eval llsq::gradient n=128,m=144 , 0.000649677 s evaluate ✓
[188] eval llsq::gradient n=128,m=160 , 0.001555163 s evaluate ✓
[192] eval llsq::gradient n=256,m=80 , 0.000970334 s evaluate ✓
[196] eval llsq::gradient n=256,m=96 , 0.002275055 s evaluate ✓
[200] eval llsq::gradient n=512,m=48 , 0.002371297 s evaluate ✓
[204] eval llsq::gradient n=256,m=112 , 0.001359765 s evaluate ✓
[208] eval llsq::gradient n=256,m=128 , 0.001354938 s evaluate ✓
[212] eval llsq::gradient n=512,m=64 , 0.001385752 s evaluate ✓
[216] eval llsq::gradient n=1024,m=32 , 0.001252846 s evaluate ✓
[220] eval llsq::gradient n=2048,m=16 , 0.001159389 s evaluate ✓
[224] eval llsq::gradient n=256,m=144 , 0.001436929 s evaluate ✓
[228] eval llsq::gradient n=256,m=160 , 0.001303768 s evaluate ✓
[232] eval llsq::gradient n=512,m=80 , 0.001523709 s evaluate ✓
[236] eval llsq::gradient n=512,m=96 , 0.002030384 s evaluate ✓
[240] eval llsq::gradient n=1024,m=48 , 0.001924664 s evaluate ✓
[244] eval llsq::gradient n=512,m=112 , 0.002304090 s evaluate ✓
[248] eval llsq::gradient n=512,m=128 , 0.002263433 s evaluate ✓
[252] eval llsq::gradient n=1024,m=64 , 0.002322243 s evaluate ✓
[256] eval llsq::gradient n=2048,m=32 , 0.002510417 s evaluate ✓
[260] eval llsq::gradient n=4096,m=16 , 0.002474104 s evaluate ✓
[264] eval llsq::gradient n=512,m=144 , 0.002266689 s evaluate ✓
[268] eval llsq::gradient n=512,m=160 , 0.002345367 s evaluate ✓
[272] eval llsq::gradient n=1024,m=80 , 0.002638694 s evaluate ✓
[276] eval llsq::gradient n=1024,m=96 , 0.002882245 s evaluate ✓
[280] eval llsq::gradient n=2048,m=48 , 0.003162493 s evaluate ✓
[284] eval llsq::gradient n=1024,m=112 , 0.003960616 s evaluate ✓
[288] eval llsq::gradient n=1024,m=128 , 0.004641503 s evaluate ✓
[292] eval llsq::gradient n=2048,m=64 , 0.004032347 s evaluate ✓
[296] eval llsq::gradient n=4096,m=32 , 0.005248945 s evaluate ✓
[300] eval llsq::gradient n=8192,m=16 , 0.004175959 s evaluate ✓
[304] eval llsq::gradient n=1024,m=144 , 0.004527994 s evaluate ✓
[308] eval llsq::gradient n=1024,m=160 , 0.005105609 s evaluate ✓
[312] eval llsq::gradient n=2048,m=80 , 0.005048837 s evaluate ✓
[316] eval llsq::gradient n=2048,m=96 , 0.008229031 s evaluate ✓
[320] eval llsq::gradient n=4096,m=48 , 0.006207891 s evaluate ✓
[324] eval llsq::gradient n=2048,m=112 , 0.007942518 s evaluate ✓
[328] eval llsq::gradient n=2048,m=128 , 0.008091760 s evaluate ✓
[332] eval llsq::gradient n=4096,m=64 , 0.008989539 s evaluate ✓
[336] eval llsq::gradient n=8192,m=32 , 0.008694926 s evaluate ✓
[340] eval llsq::gradient n=16385,m=16 , 0.008112534 s evaluate ✓
[344] eval llsq::gradient n=2048,m=144 , 0.009612396 s evaluate ✓
[348] eval llsq::gradient n=2048,m=160 , 0.009077390 s evaluate ✓
[352] eval llsq::gradient n=4096,m=80 , 0.009771859 s evaluate ✓
[356] eval llsq::gradient n=4096,m=96 , 0.011375180 s evaluate ✓
[360] eval llsq::gradient n=8192,m=48 , 0.012645511 s evaluate ✓
[364] eval llsq::gradient n=4096,m=112 , 0.015139924 s evaluate ✓
[368] eval llsq::gradient n=4096,m=128 , 0.016275094 s evaluate ✓
[372] eval llsq::gradient n=8192,m=64 , 0.016012826 s evaluate ✓
[376] eval llsq::gradient n=16385,m=32 , 0.015895581 s evaluate ✓
[380] eval llsq::gradient n=4096,m=144 , 0.020575089 s evaluate ✓
