[4] eval llsq::gradient n=16,m=16 , 0.000258862 s evaluate ✓
[8] eval llsq::gradient n=16,m=32 , 0.000234265 s evaluate ✓
[12] eval llsq::gradient n=32,m=16 , 0.000290719 s evaluate ✓
[16] eval llsq::gradient n=16,m=48 , 0.000537188 s evaluate ✓
[20] eval llsq::gradient n=16,m=64 , 0.000476463 s evaluate ✓
[24] eval llsq::gradient n=32,m=32 , 0.000322326 s evaluate ✓
[28] eval llsq::gradient n=64,m=16 , 0.000532362 s evaluate ✓
[32] eval llsq::gradient n=16,m=80 , 0.000434478 s evaluate ✓
[36] eval llsq::gradient n=16,m=96 , 0.000582957 s evaluate ✓
[40] eval llsq::gradient n=32,m=48 , 0.000537129 s evaluate ✓
[44] eval llsq::gradient n=16,m=112 , 0.000692209 s evaluate ✓
[48] eval llsq::gradient n=16,m=128 , 0.000777482 s evaluate ✓
[52] eval llsq::gradient n=32,m=64 , 0.000767494 s evaluate ✓
[56] eval llsq::gradient n=64,m=32 , 0.000765098 s evaluate ✓
[60] eval llsq::gradient n=128,m=16 , 0.000666093 s evaluate ✓
[64] eval llsq::gradient n=16,m=144 , 0.000780129 s evaluate ✓
[68] eval llsq::gradient n=16,m=160 , 0.000884102 s evaluate ✓
[72] eval llsq::gradient n=32,m=80 , 0.000958458 s evaluate ✓
[76] eval llsq::gradient n=32,m=96 , 0.000951792 s evaluate ✓
[80] eval llsq::gradient n=64,m=48 , 0.000945748 s evaluate ✓
[84] eval llsq::gradient n=32,m=112 , 0.001171704 s evaluate ✓
[88] eval llsq::gradient n=32,m=128 , 0.001633620 s evaluate ✓
[92] eval llsq::gradient n=64,m=64 , 0.001360594 s evaluate ✓
[96] eval llsq::gradient n=128,m=32 , 0.001384849 s evaluate ✓
[100] eval llsq::gradient n=256,m=16 , 0.001830931 s evaluate ✓
[104] eval llsq::gradient n=32,m=144 , 0.002391672 s evaluate ✓
[108] eval llsq::gradient n=32,m=160 , 0.001634942 s evaluate ✓
[112] eval llsq::gradient n=64,m=80 , 0.002638722 s evaluate ✓
[116] eval llsq::gradient n=64,m=96 , 0.002249464 s evaluate ✓
[120] eval llsq::gradient n=128,m=48 , 0.003237749 s evaluate ✓
[124] eval llsq::gradient n=64,m=112 , 0.003197911 s evaluate ✓
[128] eval llsq::gradient n=64,m=128 , 0.003572654 s evaluate ✓
[132] eval llsq::gradient n=128,m=64 , 0.002977793 s evaluate ✓
[136] eval llsq::gradient n=256,m=32 , 0.003097813 s evaluate ✓
[140] eval llsq::gradient n=512,m=16 , 0.003088907 s evaluate ✓
[144] eval llsq::gradient n=64,m=144 , 0.004720358 s evaluate ✓
[148] eval llsq::gradient n=64,m=160 , 0.003984087 s evaluate ✓
[152] eval llsq::gradient n=128,m=80 , 0.004267190 s evaluate ✓
[156] eval llsq::gradient n=128,m=96 , 0.004859207 s evaluate ✓
[160] eval llsq::gradient n=256,m=48 , 0.005104187 s evaluate ✓
[164] eval llsq::gradient n=128,m=112 , 0.005650579 s evaluate ✓
[168] eval llsq::gradient n=128,m=128 , 0.005760221 s evaluate ✓
[172] eval llsq::gradient n=256,m=64 , 0.005786916 s evaluate ✓
[176] eval llsq::gradient n=512,m=32 , 0.009762057 s evaluate ✓
[180] eval llsq::gradient n=1024,m=16 , 0.006196385 s evaluate ✓
[184] eval llsq::gradient n=128,m=144 , 0.006723305 s evaluate ✓
[188] eval llsq::gradient n=128,m=160 , 0.007360450 s evaluate ✓
[192] eval llsq::gradient n=256,m=80 , 0.007959702 s evaluate ✓
[196] eval llsq::gradient n=256,m=96 , 0.008133578 s evaluate ✓
[200] eval llsq::gradient n=512,m=48 , 0.008846035 s evaluate ✓
[204] eval llsq::gradient n=256,m=112 , 0.014452654 s evaluate ✓
[208] eval llsq::gradient n=256,m=128 , 0.011807290 s evaluate ✓
[212] eval llsq::gradient n=512,m=64 , 0.012192062 s evaluate ✓
[216] eval llsq::gradient n=1024,m=32 , 0.010699408 s evaluate ✓
[220] eval llsq::gradient n=2048,m=16 , 0.012550912 s evaluate ✓
[224] eval llsq::gradient n=256,m=144 , 0.013443385 s evaluate ✓
[228] eval llsq::gradient n=256,m=160 , 0.015609788 s evaluate ✓
[232] eval llsq::gradient n=512,m=80 , 0.017267510 s evaluate ✓
[236] eval llsq::gradient n=512,m=96 , 0.026323813 s evaluate ✓
[240] eval llsq::gradient n=1024,m=48 , 0.028367707 s evaluate ✓
[244] eval llsq::gradient n=512,m=112 , 0.022551496 s evaluate ✓
[248] eval llsq::gradient n=512,m=128 , 0.021935606 s evaluate ✓
[252] eval llsq::gradient n=1024,m=64 , 0.028066893 s evaluate ✓
[256] eval llsq::gradient n=2048,m=32 , 0.023587313 s evaluate ✓
[260] eval llsq::gradient n=4096,m=16 , 0.027253312 s evaluate ✓
[264] eval llsq::gradient n=512,m=144 , 0.024809652 s evaluate ✓
[268] eval llsq::gradient n=512,m=160 , 0.025206481 s evaluate ✓
[272] eval llsq::gradient n=1024,m=80 , 0.030558401 s evaluate ✓
[276] eval llsq::gradient n=1024,m=96 , 0.039574565 s evaluate ✓
[280] eval llsq::gradient n=2048,m=48 , 0.037344246 s evaluate ✓
[284] eval llsq::gradient n=1024,m=112 , 0.035736360 s evaluate ✓
[288] eval llsq::gradient n=1024,m=128 , 0.043484568 s evaluate ✓
[292] eval llsq::gradient n=2048,m=64 , 0.041597222 s evaluate ✓
[296] eval llsq::gradient n=4096,m=32 , 0.052102183 s evaluate ✓
[300] eval llsq::gradient n=8192,m=16 , 0.049592007 s evaluate ✓
[304] eval llsq::gradient n=1024,m=144 , 0.047369048 s evaluate ✓
[308] eval llsq::gradient n=1024,m=160 , 0.063407407 s evaluate ✓
