[4] eval llsq::gradient n=16,m=16 , 0.000009052 s evaluate ✓
[8] eval llsq::gradient n=16,m=32 , 0.000008050 s evaluate ✓
[12] eval llsq::gradient n=32,m=16 , 0.000007626 s evaluate ✓
[16] eval llsq::gradient n=16,m=48 , 0.000008541 s evaluate ✓
[20] eval llsq::gradient n=16,m=64 , 0.000007232 s evaluate ✓
[24] eval llsq::gradient n=32,m=32 , 0.000008151 s evaluate ✓
[28] eval llsq::gradient n=64,m=16 , 0.000006610 s evaluate ✓
[32] eval llsq::gradient n=16,m=80 , 0.000009072 s evaluate ✓
[36] eval llsq::gradient n=16,m=96 , 0.000011578 s evaluate ✓
[40] eval llsq::gradient n=32,m=48 , 0.000008285 s evaluate ✓
[44] eval llsq::gradient n=16,m=112 , 0.000013946 s evaluate ✓
[48] eval llsq::gradient n=16,m=128 , 0.000015449 s evaluate ✓
[52] eval llsq::gradient n=32,m=64 , 0.000008555 s evaluate ✓
[56] eval llsq::gradient n=64,m=32 , 0.000007828 s evaluate ✓
[60] eval llsq::gradient n=128,m=16 , 0.000009319 s evaluate ✓
[64] eval llsq::gradient n=16,m=144 , 0.000017760 s evaluate ✓
[68] eval llsq::gradient n=16,m=160 , 0.000023904 s evaluate ✓
[72] eval llsq::gradient n=32,m=80 , 0.000011037 s evaluate ✓
[76] eval llsq::gradient n=32,m=96 , 0.000018326 s evaluate ✓
[80] eval llsq::gradient n=64,m=48 , 0.000012536 s evaluate ✓
[84] eval llsq::gradient n=32,m=112 , 0.000019239 s evaluate ✓
[88] eval llsq::gradient n=32,m=128 , 0.000028569 s evaluate ✓
[92] eval llsq::gradient n=64,m=64 , 0.000011837 s evaluate ✓
[96] eval llsq::gradient n=128,m=32 , 0.000013890 s evaluate ✓
[100] eval llsq::gradient n=256,m=16 , 0.000021976 s evaluate ✓
[104] eval llsq::gradient n=32,m=144 , 0.000032827 s evaluate ✓
[108] eval llsq::gradient n=32,m=160 , 0.000030553 s evaluate ✓
[112] eval llsq::gradient n=64,m=80 , 0.000015051 s evaluate ✓
[116] eval llsq::gradient n=64,m=96 , 0.000033969 s evaluate ✓
[120] eval llsq::gradient n=128,m=48 , 0.000014646 s evaluate ✓
[124] eval llsq::gradient n=64,m=112 , 0.000032424 s evaluate ✓
[128] eval llsq::gradient n=64,m=128 , 0.000040464 s evaluate ✓
[132] eval llsq::gradient n=128,m=64 , 0.000017480 s evaluate ✓
[136] eval llsq::gradient n=256,m=32 , 0.000017236 s evaluate ✓
[140] eval llsq::gradient n=512,m=16 , 0.000022019 s evaluate ✓
