[4] eval llsq::gradient n=16,m=16 , 0.000082574 s evaluate ✓
[8] eval llsq::gradient n=16,m=32 , 0.000079977 s evaluate ✓
[12] eval llsq::gradient n=32,m=16 , 0.000094120 s evaluate ✓
[16] eval llsq::gradient n=16,m=48 , 0.000111084 s evaluate ✓
[20] eval llsq::gradient n=16,m=64 , 0.000142646 s evaluate ✓
[24] eval llsq::gradient n=32,m=32 , 0.000135702 s evaluate ✓
[28] eval llsq::gradient n=64,m=16 , 0.000164970 s evaluate ✓
[32] eval llsq::gradient n=16,m=80 , 0.000210039 s evaluate ✓
[36] eval llsq::gradient n=16,m=96 , 0.000193658 s evaluate ✓
[40] eval llsq::gradient n=32,m=48 , 0.000194717 s evaluate ✓
[44] eval llsq::gradient n=16,m=112 , 0.000255448 s evaluate ✓
[48] eval llsq::gradient n=16,m=128 , 0.000315483 s evaluate ✓
[52] eval llsq::gradient n=32,m=64 , 0.000258930 s evaluate ✓
[56] eval llsq::gradient n=64,m=32 , 0.000259042 s evaluate ✓
[60] eval llsq::gradient n=128,m=16 , 0.000273767 s evaluate ✓
[64] eval llsq::gradient n=16,m=144 , 0.000280138 s evaluate ✓
[68] eval llsq::gradient n=16,m=160 , 0.000341386 s evaluate ✓
[72] eval llsq::gradient n=32,m=80 , 0.000394755 s evaluate ✓
[76] eval llsq::gradient n=32,m=96 , 0.000468884 s evaluate ✓
[80] eval llsq::gradient n=64,m=48 , 0.000437650 s evaluate ✓
[84] eval llsq::gradient n=32,m=112 , 0.000484056 s evaluate ✓
[88] eval llsq::gradient n=32,m=128 , 0.000533469 s evaluate ✓
[92] eval llsq::gradient n=64,m=64 , 0.000540362 s evaluate ✓
[96] eval llsq::gradient n=128,m=32 , 0.000559441 s evaluate ✓
[100] eval llsq::gradient n=256,m=16 , 0.000561544 s evaluate ✓
[104] eval llsq::gradient n=32,m=144 , 0.000697806 s evaluate ✓
[108] eval llsq::gradient n=32,m=160 , 0.000735373 s evaluate ✓
[112] eval llsq::gradient n=64,m=80 , 0.000682845 s evaluate ✓
[116] eval llsq::gradient n=64,m=96 , 0.000774516 s evaluate ✓
[120] eval llsq::gradient n=128,m=48 , 0.000747147 s evaluate ✓
[124] eval llsq::gradient n=64,m=112 , 0.000917534 s evaluate ✓
[128] eval llsq::gradient n=64,m=128 , 0.000991611 s evaluate ✓
[132] eval llsq::gradient n=128,m=64 , 0.001013119 s evaluate ✓
[136] eval llsq::gradient n=256,m=32 , 0.000993045 s evaluate ✓
