[4] eval ode::gradient n=1000,s=1 , 0.000536554 s evaluate ✓
[8] eval ode::gradient n=1000,s=2 , 0.000908749 s evaluate ✓
[12] eval ode::gradient n=2500,s=1 , 0.001402612 s evaluate ✓
[16] eval ode::gradient n=1000,s=5 , 0.002202798 s evaluate ✓
[20] eval ode::gradient n=2500,s=2 , 0.003109616 s evaluate ✓
[24] eval ode::gradient n=5000,s=1 , 0.002636103 s evaluate ✓
[28] eval ode::gradient n=7500,s=1 , 0.004084068 s evaluate ✓
[32] eval ode::gradient n=1000,s=10 , 0.003712814 s evaluate ✓
[36] eval ode::gradient n=5000,s=2 , 0.004628383 s evaluate ✓
[40] eval ode::gradient n=10000,s=1 , 0.006015111 s evaluate ✓
[44] eval ode::gradient n=2500,s=5 , 0.005380149 s evaluate ✓
[48] eval ode::gradient n=1000,s=15 , 0.006309523 s evaluate ✓
[52] eval ode::gradient n=7500,s=2 , 0.009349760 s evaluate ✓
[56] eval ode::gradient n=15000,s=1 , 0.007928536 s evaluate ✓
[60] eval ode::gradient n=1000,s=20 , 0.009093557 s evaluate ✓
[64] eval ode::gradient n=10000,s=2 , 0.008689707 s evaluate ✓
[68] eval ode::gradient n=20000,s=1 , 0.023216997 s evaluate ✓
[72] eval ode::gradient n=1000,s=25 , 0.010398317 s evaluate ✓
[76] eval ode::gradient n=2500,s=10 , 0.009204118 s evaluate ✓
[80] eval ode::gradient n=5000,s=5 , 0.009495014 s evaluate ✓
[84] eval ode::gradient n=25000,s=1 , 0.015274135 s evaluate ✓
[88] eval ode::gradient n=1000,s=30 , 0.010149564 s evaluate ✓
[92] eval ode::gradient n=15000,s=2 , 0.014161846 s evaluate ✓
[96] eval ode::gradient n=30000,s=1 , 0.015985829 s evaluate ✓
[100] eval ode::gradient n=2500,s=15 , 0.016683580 s evaluate ✓
[104] eval ode::gradient n=7500,s=5 , 0.019311012 s evaluate ✓
[108] eval ode::gradient n=1000,s=40 , 0.016906244 s evaluate ✓
[112] eval ode::gradient n=20000,s=2 , 0.021465718 s evaluate ✓
[116] eval ode::gradient n=40000,s=1 , 0.030065826 s evaluate ✓
[120] eval ode::gradient n=1000,s=50 , 0.022441364 s evaluate ✓
[124] eval ode::gradient n=2500,s=20 , 0.021944958 s evaluate ✓
[128] eval ode::gradient n=5000,s=10 , 0.022148801 s evaluate ✓
[132] eval ode::gradient n=10000,s=5 , 0.025600777 s evaluate ✓
[136] eval ode::gradient n=25000,s=2 , 0.027542761 s evaluate ✓
[140] eval ode::gradient n=50000,s=1 , 0.036464943 s evaluate ✓
[144] eval ode::gradient n=30000,s=2 , 0.035120998 s evaluate ✓
[148] eval ode::gradient n=2500,s=25 , 0.024037066 s evaluate ✓
[152] eval ode::gradient n=2500,s=30 , 0.036005624 s evaluate ✓
[156] eval ode::gradient n=5000,s=15 , 0.038170370 s evaluate ✓
[160] eval ode::gradient n=7500,s=10 , 0.048217286 s evaluate ✓
[164] eval ode::gradient n=15000,s=5 , 0.040154450 s evaluate ✓
[168] eval ode::gradient n=40000,s=2 , 0.057992647 s evaluate ✓
[172] eval ode::gradient n=2500,s=40 , 0.051352540 s evaluate ✓
[176] eval ode::gradient n=5000,s=20 , 0.049844771 s evaluate ✓
[180] eval ode::gradient n=10000,s=10 , 0.049636349 s evaluate ✓
[184] eval ode::gradient n=20000,s=5 , 0.054989878 s evaluate ✓
[188] eval ode::gradient n=50000,s=2 , 0.079126248 s evaluate ✓
[192] eval ode::gradient n=7500,s=15 , 0.051089765 s evaluate ✓
[196] eval ode::gradient n=2500,s=50 , 0.056657379 s evaluate ✓
[200] eval ode::gradient n=5000,s=25 , 0.062023748 s evaluate ✓
[204] eval ode::gradient n=25000,s=5 , 0.078083333 s evaluate ✓
[208] eval ode::gradient n=5000,s=30 , 0.091071429 s evaluate ✓
[212] eval ode::gradient n=7500,s=20 , 0.095669516 s evaluate ✓
[216] eval ode::gradient n=10000,s=15 , 0.105676587 s evaluate ✓
[220] eval ode::gradient n=15000,s=10 , 0.113666667 s evaluate ✓
[224] eval ode::gradient n=30000,s=5 , 0.100284982 s evaluate ✓
[228] eval ode::gradient n=7500,s=25 , 0.095358974 s evaluate ✓
[232] eval ode::gradient n=5000,s=40 , 0.098305556 s evaluate ✓
[236] eval ode::gradient n=10000,s=20 , 0.109652862 s evaluate ✓
[240] eval ode::gradient n=20000,s=10 , 0.116996633 s evaluate ✓
[244] eval ode::gradient n=40000,s=5 , 0.137511111 s evaluate ✓
[248] eval ode::gradient n=7500,s=30 , 0.134496873 s evaluate ✓
[252] eval ode::gradient n=15000,s=15 , 0.137773810 s evaluate ✓
[256] eval ode::gradient n=5000,s=50 , 0.124506494 s evaluate ✓
[260] eval ode::gradient n=10000,s=25 , 0.122111364 s evaluate ✓
[264] eval ode::gradient n=25000,s=10 , 0.151111111 s evaluate ✓
[268] eval ode::gradient n=50000,s=5 , 0.189400000 s evaluate ✓
[272] eval ode::gradient n=7500,s=40 , 0.180714286 s evaluate ✓
[276] eval ode::gradient n=10000,s=30 , 0.194922222 s evaluate ✓
