[4] eval ode::gradient n=1000,s=1 , 0.000765538 s evaluate ✓
[8] eval ode::gradient n=1000,s=2 , 0.001059256 s evaluate ✓
[12] eval ode::gradient n=2500,s=1 , 0.001890245 s evaluate ✓
[16] eval ode::gradient n=1000,s=5 , 0.002779140 s evaluate ✓
[20] eval ode::gradient n=2500,s=2 , 0.003617759 s evaluate ✓
[24] eval ode::gradient n=5000,s=1 , 0.004266787 s evaluate ✓
[28] eval ode::gradient n=7500,s=1 , 0.008288725 s evaluate ✓
[32] eval ode::gradient n=1000,s=10 , 0.008311140 s evaluate ✓
[36] eval ode::gradient n=5000,s=2 , 0.008097288 s evaluate ✓
[40] eval ode::gradient n=10000,s=1 , 0.009472017 s evaluate ✓
[44] eval ode::gradient n=2500,s=5 , 0.009415258 s evaluate ✓
[48] eval ode::gradient n=1000,s=15 , 0.011076251 s evaluate ✓
[52] eval ode::gradient n=7500,s=2 , 0.010857510 s evaluate ✓
[56] eval ode::gradient n=15000,s=1 , 0.024829156 s evaluate ✓
[60] eval ode::gradient n=1000,s=20 , 0.012370647 s evaluate ✓
[64] eval ode::gradient n=10000,s=2 , 0.027684102 s evaluate ✓
[68] eval ode::gradient n=20000,s=1 , 0.030704972 s evaluate ✓
[72] eval ode::gradient n=1000,s=25 , 0.024896801 s evaluate ✓
[76] eval ode::gradient n=2500,s=10 , 0.022865763 s evaluate ✓
[80] eval ode::gradient n=5000,s=5 , 0.025977445 s evaluate ✓
[84] eval ode::gradient n=25000,s=1 , 0.044404555 s evaluate ✓
[88] eval ode::gradient n=1000,s=30 , 0.026984921 s evaluate ✓
[92] eval ode::gradient n=15000,s=2 , 0.040934698 s evaluate ✓
[96] eval ode::gradient n=30000,s=1 , 0.045908777 s evaluate ✓
[100] eval ode::gradient n=2500,s=15 , 0.038497483 s evaluate ✓
[104] eval ode::gradient n=7500,s=5 , 0.046869281 s evaluate ✓
[108] eval ode::gradient n=1000,s=40 , 0.042984666 s evaluate ✓
[112] eval ode::gradient n=20000,s=2 , 0.049488095 s evaluate ✓
[116] eval ode::gradient n=40000,s=1 , 0.080963384 s evaluate ✓
[120] eval ode::gradient n=1000,s=50 , 0.046047009 s evaluate ✓
[124] eval ode::gradient n=2500,s=20 , 0.056625047 s evaluate ✓
[128] eval ode::gradient n=5000,s=10 , 0.067076923 s evaluate ✓
[132] eval ode::gradient n=10000,s=5 , 0.057631734 s evaluate ✓
[136] eval ode::gradient n=25000,s=2 , 0.086313796 s evaluate ✓
[140] eval ode::gradient n=50000,s=1 , 0.103703469 s evaluate ✓
[144] eval ode::gradient n=30000,s=2 , 0.084575439 s evaluate ✓
[148] eval ode::gradient n=2500,s=25 , 0.080002334 s evaluate ✓
[152] eval ode::gradient n=2500,s=30 , 0.080974562 s evaluate ✓
[156] eval ode::gradient n=5000,s=15 , 0.075735589 s evaluate ✓
[160] eval ode::gradient n=7500,s=10 , 0.075473684 s evaluate ✓
[164] eval ode::gradient n=15000,s=5 , 0.092681750 s evaluate ✓
[168] eval ode::gradient n=40000,s=2 , 0.145657925 s evaluate ✓
[172] eval ode::gradient n=2500,s=40 , 0.110766667 s evaluate ✓
[176] eval ode::gradient n=5000,s=20 , 0.122542088 s evaluate ✓
[180] eval ode::gradient n=10000,s=10 , 0.123664550 s evaluate ✓
[184] eval ode::gradient n=20000,s=5 , 0.145567664 s evaluate ✓
[188] eval ode::gradient n=50000,s=2 , 0.209075397 s evaluate ✓
[192] eval ode::gradient n=7500,s=15 , 0.149072751 s evaluate ✓
[196] eval ode::gradient n=2500,s=50 , 0.181722222 s evaluate ✓
[200] eval ode::gradient n=5000,s=25 , 0.176089947 s evaluate ✓
[204] eval ode::gradient n=25000,s=5 , 0.233063492 s evaluate ✓
[208] eval ode::gradient n=5000,s=30 , 0.192866667 s evaluate ✓
[212] eval ode::gradient n=7500,s=20 , 0.203734921 s evaluate ✓
[216] eval ode::gradient n=10000,s=15 , 0.169150000 s evaluate ✓
[220] eval ode::gradient n=15000,s=10 , 0.204100000 s evaluate ✓
[224] eval ode::gradient n=30000,s=5 , 0.253301587 s evaluate ✓
[228] eval ode::gradient n=7500,s=25 , 0.235361905 s evaluate ✓
[232] eval ode::gradient n=5000,s=40 , 0.277833333 s evaluate ✓
[236] eval ode::gradient n=10000,s=20 , 0.278025397 s evaluate ✓
[240] eval ode::gradient n=20000,s=10 , 0.295755556 s evaluate ✓
[244] eval ode::gradient n=40000,s=5 , 0.320666667 s evaluate ✓
[248] eval ode::gradient n=7500,s=30 , 0.309366667 s evaluate ✓
[252] eval ode::gradient n=15000,s=15 , 0.297255556 s evaluate ✓
[256] eval ode::gradient n=5000,s=50 , 0.340127778 s evaluate ✓
[260] eval ode::gradient n=10000,s=25 , 0.346616667 s evaluate ✓
[264] eval ode::gradient n=25000,s=10 , 0.355533333 s evaluate ✓
[268] eval ode::gradient n=50000,s=5 , 0.378188889 s evaluate ✓
[272] eval ode::gradient n=7500,s=40 , 0.638400000 s evaluate ✓
[276] eval ode::gradient n=10000,s=30 , 0.711933333 s evaluate ✓
[280] eval ode::gradient n=15000,s=20 , 0.813277778 s evaluate ✓
[284] eval ode::gradient n=20000,s=15 , 0.605422222 s evaluate ✓
[288] eval ode::gradient n=30000,s=10 , 0.526083333 s evaluate ✓
[292] eval ode::gradient n=7500,s=50 , 0.577833333 s evaluate ✓
[296] eval ode::gradient n=15000,s=25 , 0.820611111 s evaluate ✓
[300] eval ode::gradient n=25000,s=15 , 0.799083333 s evaluate ✓
[304] eval ode::gradient n=10000,s=40 , 0.698555556 s evaluate ✓
[308] eval ode::gradient n=20000,s=20 , 0.725250000 s evaluate ✓
[312] eval ode::gradient n=40000,s=10 , 1.005166667 s evaluate ✓
[316] eval ode::gradient n=15000,s=30 , 0.855555556 s evaluate ✓
[320] eval ode::gradient n=30000,s=15 , 0.921777778 s evaluate ✓
[324] eval ode::gradient n=10000,s=50 , 0.811222222 s evaluate ✓
[328] eval ode::gradient n=20000,s=25 , 0.893222222 s evaluate ✓
[332] eval ode::gradient n=25000,s=20 , 0.798555556 s evaluate ✓
[336] eval ode::gradient n=50000,s=10 , 1.102555556 s evaluate ✓
[340] eval ode::gradient n=15000,s=40 , 1.067500000 s evaluate ✓
[344] eval ode::gradient n=20000,s=30 , 1.195166667 s evaluate ✓
[348] eval ode::gradient n=30000,s=20 , 1.095666667 s evaluate ✓
[352] eval ode::gradient n=40000,s=15 , 1.146277778 s evaluate ✓
[356] eval ode::gradient n=25000,s=25 , 1.087111111 s evaluate ✓
