[4] eval ode::gradient n=1000,s=1 , 0.000149051 s evaluate ✓
[8] eval ode::gradient n=1000,s=2 , 0.000248883 s evaluate ✓
[12] eval ode::gradient n=2500,s=1 , 0.000541512 s evaluate ✓
[16] eval ode::gradient n=1000,s=5 , 0.000611507 s evaluate ✓
[20] eval ode::gradient n=2500,s=2 , 0.000604363 s evaluate ✓
[24] eval ode::gradient n=5000,s=1 , 0.000734651 s evaluate ✓
[28] eval ode::gradient n=7500,s=1 , 0.001546031 s evaluate ✓
[32] eval ode::gradient n=1000,s=10 , 0.000770631 s evaluate ✓
[36] eval ode::gradient n=5000,s=2 , 0.001976928 s evaluate ✓
[40] eval ode::gradient n=10000,s=1 , 0.001972378 s evaluate ✓
[44] eval ode::gradient n=2500,s=5 , 0.001243854 s evaluate ✓
[48] eval ode::gradient n=1000,s=15 , 0.001288686 s evaluate ✓
[52] eval ode::gradient n=7500,s=2 , 0.001998723 s evaluate ✓
[56] eval ode::gradient n=15000,s=1 , 0.003109373 s evaluate ✓
[60] eval ode::gradient n=1000,s=20 , 0.002389629 s evaluate ✓
[64] eval ode::gradient n=10000,s=2 , 0.004190488 s evaluate ✓
[68] eval ode::gradient n=20000,s=1 , 0.004976510 s evaluate ✓
[72] eval ode::gradient n=1000,s=25 , 0.002103164 s evaluate ✓
[76] eval ode::gradient n=2500,s=10 , 0.002183887 s evaluate ✓
[80] eval ode::gradient n=5000,s=5 , 0.002574946 s evaluate ✓
[84] eval ode::gradient n=25000,s=1 , 0.005198060 s evaluate ✓
[88] eval ode::gradient n=1000,s=30 , 0.002583943 s evaluate ✓
[92] eval ode::gradient n=15000,s=2 , 0.004689947 s evaluate ✓
[96] eval ode::gradient n=30000,s=1 , 0.007529626 s evaluate ✓
[100] eval ode::gradient n=2500,s=15 , 0.004033666 s evaluate ✓
[104] eval ode::gradient n=7500,s=5 , 0.004372056 s evaluate ✓
[108] eval ode::gradient n=1000,s=40 , 0.005236793 s evaluate ✓
[112] eval ode::gradient n=20000,s=2 , 0.008537931 s evaluate ✓
[116] eval ode::gradient n=40000,s=1 , 0.016863176 s evaluate ✓
[120] eval ode::gradient n=1000,s=50 , 0.010169306 s evaluate ✓
[124] eval ode::gradient n=2500,s=20 , 0.007475998 s evaluate ✓
[128] eval ode::gradient n=5000,s=10 , 0.006382821 s evaluate ✓
[132] eval ode::gradient n=10000,s=5 , 0.008204044 s evaluate ✓
[136] eval ode::gradient n=25000,s=2 , 0.007674810 s evaluate ✓
[140] eval ode::gradient n=50000,s=1 , 0.009557193 s evaluate ✓
[144] eval ode::gradient n=30000,s=2 , 0.009951872 s evaluate ✓
[148] eval ode::gradient n=2500,s=25 , 0.004820950 s evaluate ✓
[152] eval ode::gradient n=2500,s=30 , 0.005740307 s evaluate ✓
[156] eval ode::gradient n=5000,s=15 , 0.005970720 s evaluate ✓
[160] eval ode::gradient n=7500,s=10 , 0.006679731 s evaluate ✓
[164] eval ode::gradient n=15000,s=5 , 0.006258557 s evaluate ✓
[168] eval ode::gradient n=40000,s=2 , 0.011180973 s evaluate ✓
[172] eval ode::gradient n=2500,s=40 , 0.007379094 s evaluate ✓
[176] eval ode::gradient n=5000,s=20 , 0.007331617 s evaluate ✓
[180] eval ode::gradient n=10000,s=10 , 0.007689215 s evaluate ✓
[184] eval ode::gradient n=20000,s=5 , 0.010386543 s evaluate ✓
[188] eval ode::gradient n=50000,s=2 , 0.014030224 s evaluate ✓
[192] eval ode::gradient n=7500,s=15 , 0.008414356 s evaluate ✓
[196] eval ode::gradient n=2500,s=50 , 0.015539463 s evaluate ✓
[200] eval ode::gradient n=5000,s=25 , 0.009253076 s evaluate ✓
[204] eval ode::gradient n=25000,s=5 , 0.014525690 s evaluate ✓
[208] eval ode::gradient n=5000,s=30 , 0.012329088 s evaluate ✓
[212] eval ode::gradient n=7500,s=20 , 0.010933347 s evaluate ✓
[216] eval ode::gradient n=10000,s=15 , 0.011000494 s evaluate ✓
[220] eval ode::gradient n=15000,s=10 , 0.013182564 s evaluate ✓
[224] eval ode::gradient n=30000,s=5 , 0.027157272 s evaluate ✓
[228] eval ode::gradient n=7500,s=25 , 0.013276120 s evaluate ✓
[232] eval ode::gradient n=5000,s=40 , 0.016520069 s evaluate ✓
[236] eval ode::gradient n=10000,s=20 , 0.019220404 s evaluate ✓
[240] eval ode::gradient n=20000,s=10 , 0.016719585 s evaluate ✓
[244] eval ode::gradient n=40000,s=5 , 0.023520896 s evaluate ✓
[248] eval ode::gradient n=7500,s=30 , 0.016397135 s evaluate ✓
[252] eval ode::gradient n=15000,s=15 , 0.017249747 s evaluate ✓
[256] eval ode::gradient n=5000,s=50 , 0.020734724 s evaluate ✓
[260] eval ode::gradient n=10000,s=25 , 0.019040533 s evaluate ✓
[264] eval ode::gradient n=25000,s=10 , 0.023339550 s evaluate ✓
[268] eval ode::gradient n=50000,s=5 , 0.041083558 s evaluate ✓
[272] eval ode::gradient n=7500,s=40 , 0.041122199 s evaluate ✓
[276] eval ode::gradient n=10000,s=30 , 0.035180660 s evaluate ✓
[280] eval ode::gradient n=15000,s=20 , 0.028243827 s evaluate ✓
[284] eval ode::gradient n=20000,s=15 , 0.029281400 s evaluate ✓
[288] eval ode::gradient n=30000,s=10 , 0.041425909 s evaluate ✓
[292] eval ode::gradient n=7500,s=50 , 0.033258586 s evaluate ✓
[296] eval ode::gradient n=15000,s=25 , 0.026567568 s evaluate ✓
[300] eval ode::gradient n=25000,s=15 , 0.029697161 s evaluate ✓
[304] eval ode::gradient n=10000,s=40 , 0.031425065 s evaluate ✓
[308] eval ode::gradient n=20000,s=20 , 0.034385965 s evaluate ✓
[312] eval ode::gradient n=40000,s=10 , 0.042721444 s evaluate ✓
[316] eval ode::gradient n=15000,s=30 , 0.031597928 s evaluate ✓
[320] eval ode::gradient n=30000,s=15 , 0.041477220 s evaluate ✓
[324] eval ode::gradient n=10000,s=50 , 0.040523844 s evaluate ✓
[328] eval ode::gradient n=20000,s=25 , 0.044564408 s evaluate ✓
[332] eval ode::gradient n=25000,s=20 , 0.047161839 s evaluate ✓
[336] eval ode::gradient n=50000,s=10 , 0.051192308 s evaluate ✓
[340] eval ode::gradient n=15000,s=40 , 0.055307115 s evaluate ✓
[344] eval ode::gradient n=20000,s=30 , 0.049062536 s evaluate ✓
[348] eval ode::gradient n=30000,s=20 , 0.075375000 s evaluate ✓
[352] eval ode::gradient n=40000,s=15 , 0.054466184 s evaluate ✓
[356] eval ode::gradient n=25000,s=25 , 0.093332265 s evaluate ✓
[360] eval ode::gradient n=15000,s=50 , 0.055851587 s evaluate ✓
[364] eval ode::gradient n=25000,s=30 , 0.063823464 s evaluate ✓
[368] eval ode::gradient n=30000,s=25 , 0.075318452 s evaluate ✓
[372] eval ode::gradient n=50000,s=15 , 0.078043464 s evaluate ✓
[376] eval ode::gradient n=20000,s=40 , 0.074244595 s evaluate ✓
[380] eval ode::gradient n=40000,s=20 , 0.077958824 s evaluate ✓
[384] eval ode::gradient n=30000,s=30 , 0.075138889 s evaluate ✓
[388] eval ode::gradient n=20000,s=50 , 0.090123077 s evaluate ✓
[392] eval ode::gradient n=25000,s=40 , 0.182194048 s evaluate ✓
[396] eval ode::gradient n=40000,s=25 , 0.104620060 s evaluate ✓
[400] eval ode::gradient n=50000,s=20 , 0.286111111 s evaluate ✓
[404] eval ode::gradient n=30000,s=40 , 0.320230769 s evaluate ✓
[408] eval ode::gradient n=40000,s=30 , 0.180941667 s evaluate ✓
[412] eval ode::gradient n=25000,s=50 , 0.202466667 s evaluate ✓
[416] eval ode::gradient n=50000,s=25 , 0.287138889 s evaluate ✓
[420] eval ode::gradient n=30000,s=50 , 0.156240741 s evaluate ✓
[424] eval ode::gradient n=50000,s=30 , 0.252214286 s evaluate ✓
[428] eval ode::gradient n=40000,s=40 , 0.232022222 s evaluate ✓
[432] eval ode::gradient n=40000,s=50 , 0.231521429 s evaluate ✓
[436] eval ode::gradient n=50000,s=40 , 0.415883333 s evaluate ✓
[440] eval ode::gradient n=50000,s=50 , 0.500266667 s evaluate ✓
