[4] eval ode::gradient n=1000,s=1 , 0.000527928 s evaluate ✓
[8] eval ode::gradient n=1000,s=2 , 0.001228047 s evaluate ✓
[12] eval ode::gradient n=2500,s=1 , 0.001523695 s evaluate ✓
[16] eval ode::gradient n=1000,s=5 , 0.001870876 s evaluate ✓
[20] eval ode::gradient n=2500,s=2 , 0.003588278 s evaluate ✓
[24] eval ode::gradient n=5000,s=1 , 0.002803234 s evaluate ✓
[28] eval ode::gradient n=7500,s=1 , 0.004301420 s evaluate ✓
[32] eval ode::gradient n=1000,s=10 , 0.004572378 s evaluate ✓
[36] eval ode::gradient n=5000,s=2 , 0.005103808 s evaluate ✓
[40] eval ode::gradient n=10000,s=1 , 0.012072767 s evaluate ✓
[44] eval ode::gradient n=2500,s=5 , 0.006604551 s evaluate ✓
[48] eval ode::gradient n=1000,s=15 , 0.008988172 s evaluate ✓
[52] eval ode::gradient n=7500,s=2 , 0.020117172 s evaluate ✓
[56] eval ode::gradient n=15000,s=1 , 0.024530735 s evaluate ✓
[60] eval ode::gradient n=1000,s=20 , 0.030049319 s evaluate ✓
[64] eval ode::gradient n=10000,s=2 , 0.017469892 s evaluate ✓
[68] eval ode::gradient n=20000,s=1 , 0.021213786 s evaluate ✓
[72] eval ode::gradient n=1000,s=25 , 0.019917775 s evaluate ✓
[76] eval ode::gradient n=2500,s=10 , 0.007999209 s evaluate ✓
[80] eval ode::gradient n=5000,s=5 , 0.008839217 s evaluate ✓
[84] eval ode::gradient n=25000,s=1 , 0.034067050 s evaluate ✓
[88] eval ode::gradient n=1000,s=30 , 0.021300764 s evaluate ✓
[92] eval ode::gradient n=15000,s=2 , 0.016032843 s evaluate ✓
[96] eval ode::gradient n=30000,s=1 , 0.029486557 s evaluate ✓
[100] eval ode::gradient n=2500,s=15 , 0.019956217 s evaluate ✓
[104] eval ode::gradient n=7500,s=5 , 0.024927935 s evaluate ✓
[108] eval ode::gradient n=1000,s=40 , 0.025862369 s evaluate ✓
[112] eval ode::gradient n=20000,s=2 , 0.022610261 s evaluate ✓
[116] eval ode::gradient n=40000,s=1 , 0.031297924 s evaluate ✓
[120] eval ode::gradient n=1000,s=50 , 0.034650617 s evaluate ✓
[124] eval ode::gradient n=2500,s=20 , 0.021928998 s evaluate ✓
[128] eval ode::gradient n=5000,s=10 , 0.022203310 s evaluate ✓
[132] eval ode::gradient n=10000,s=5 , 0.023103935 s evaluate ✓
[136] eval ode::gradient n=25000,s=2 , 0.031867794 s evaluate ✓
[140] eval ode::gradient n=50000,s=1 , 0.045208309 s evaluate ✓
[144] eval ode::gradient n=30000,s=2 , 0.040039785 s evaluate ✓
[148] eval ode::gradient n=2500,s=25 , 0.034205994 s evaluate ✓
[152] eval ode::gradient n=2500,s=30 , 0.036277880 s evaluate ✓
[156] eval ode::gradient n=5000,s=15 , 0.030517022 s evaluate ✓
[160] eval ode::gradient n=7500,s=10 , 0.040110106 s evaluate ✓
[164] eval ode::gradient n=15000,s=5 , 0.032269329 s evaluate ✓
[168] eval ode::gradient n=40000,s=2 , 0.052151235 s evaluate ✓
[172] eval ode::gradient n=2500,s=40 , 0.060373504 s evaluate ✓
[176] eval ode::gradient n=5000,s=20 , 0.042242564 s evaluate ✓
[180] eval ode::gradient n=10000,s=10 , 0.050248016 s evaluate ✓
[184] eval ode::gradient n=20000,s=5 , 0.089860119 s evaluate ✓
[188] eval ode::gradient n=50000,s=2 , 0.070588936 s evaluate ✓
[192] eval ode::gradient n=7500,s=15 , 0.048174780 s evaluate ✓
[196] eval ode::gradient n=2500,s=50 , 0.063408929 s evaluate ✓
[200] eval ode::gradient n=5000,s=25 , 0.048908974 s evaluate ✓
[204] eval ode::gradient n=25000,s=5 , 0.065568226 s evaluate ✓
[208] eval ode::gradient n=5000,s=30 , 0.089551515 s evaluate ✓
[212] eval ode::gradient n=7500,s=20 , 0.070119048 s evaluate ✓
[216] eval ode::gradient n=10000,s=15 , 0.062840463 s evaluate ✓
[220] eval ode::gradient n=15000,s=10 , 0.061438064 s evaluate ✓
[224] eval ode::gradient n=30000,s=5 , 0.111121212 s evaluate ✓
[228] eval ode::gradient n=7500,s=25 , 0.121139706 s evaluate ✓
[232] eval ode::gradient n=5000,s=40 , 0.132111111 s evaluate ✓
[236] eval ode::gradient n=10000,s=20 , 0.083038462 s evaluate ✓
[240] eval ode::gradient n=20000,s=10 , 0.087627451 s evaluate ✓
[244] eval ode::gradient n=40000,s=5 , 0.148479167 s evaluate ✓
[248] eval ode::gradient n=7500,s=30 , 0.099057576 s evaluate ✓
[252] eval ode::gradient n=15000,s=15 , 0.109510490 s evaluate ✓
[256] eval ode::gradient n=5000,s=50 , 0.152884921 s evaluate ✓
[260] eval ode::gradient n=10000,s=25 , 0.124785256 s evaluate ✓
[264] eval ode::gradient n=25000,s=10 , 0.143826359 s evaluate ✓
[268] eval ode::gradient n=50000,s=5 , 0.163931217 s evaluate ✓
