[4] eval ode::gradient n=1000,s=1 , 0.000028333 s evaluate ✓
[8] eval ode::gradient n=1000,s=2 , 0.000048845 s evaluate ✓
[12] eval ode::gradient n=2500,s=1 , 0.000200802 s evaluate ✓
[16] eval ode::gradient n=1000,s=5 , 0.000156877 s evaluate ✓
[20] eval ode::gradient n=2500,s=2 , 0.000265508 s evaluate ✓
[24] eval ode::gradient n=5000,s=1 , 0.000117918 s evaluate ✓
[28] eval ode::gradient n=7500,s=1 , 0.000237669 s evaluate ✓
[32] eval ode::gradient n=1000,s=10 , 0.000330514 s evaluate ✓
[36] eval ode::gradient n=5000,s=2 , 0.000205126 s evaluate ✓
[40] eval ode::gradient n=10000,s=1 , 0.000279457 s evaluate ✓
[44] eval ode::gradient n=2500,s=5 , 0.000537644 s evaluate ✓
[48] eval ode::gradient n=1000,s=15 , 0.000540602 s evaluate ✓
[52] eval ode::gradient n=7500,s=2 , 0.000413001 s evaluate ✓
[56] eval ode::gradient n=15000,s=1 , 0.000480054 s evaluate ✓
[60] eval ode::gradient n=1000,s=20 , 0.000275773 s evaluate ✓
[64] eval ode::gradient n=10000,s=2 , 0.000547999 s evaluate ✓
[68] eval ode::gradient n=20000,s=1 , 0.000609837 s evaluate ✓
[72] eval ode::gradient n=1000,s=25 , 0.000344003 s evaluate ✓
[76] eval ode::gradient n=2500,s=10 , 0.000861341 s evaluate ✓
[80] eval ode::gradient n=5000,s=5 , 0.000511149 s evaluate ✓
[84] eval ode::gradient n=25000,s=1 , 0.000802966 s evaluate ✓
[88] eval ode::gradient n=1000,s=30 , 0.000406746 s evaluate ✓
[92] eval ode::gradient n=15000,s=2 , 0.000713299 s evaluate ✓
[96] eval ode::gradient n=30000,s=1 , 0.001091422 s evaluate ✓
[100] eval ode::gradient n=2500,s=15 , 0.001109239 s evaluate ✓
[104] eval ode::gradient n=7500,s=5 , 0.000870931 s evaluate ✓
[108] eval ode::gradient n=1000,s=40 , 0.000705173 s evaluate ✓
[112] eval ode::gradient n=20000,s=2 , 0.001218716 s evaluate ✓
[116] eval ode::gradient n=40000,s=1 , 0.001683940 s evaluate ✓
[120] eval ode::gradient n=1000,s=50 , 0.000801054 s evaluate ✓
[124] eval ode::gradient n=2500,s=20 , 0.001017292 s evaluate ✓
[128] eval ode::gradient n=5000,s=10 , 0.000998789 s evaluate ✓
[132] eval ode::gradient n=10000,s=5 , 0.001140776 s evaluate ✓
[136] eval ode::gradient n=25000,s=2 , 0.001960715 s evaluate ✓
[140] eval ode::gradient n=50000,s=1 , 0.002645039 s evaluate ✓
[144] eval ode::gradient n=30000,s=2 , 0.002315771 s evaluate ✓
[148] eval ode::gradient n=2500,s=25 , 0.002141604 s evaluate ✓
[152] eval ode::gradient n=2500,s=30 , 0.001349260 s evaluate ✓
[156] eval ode::gradient n=5000,s=15 , 0.002063317 s evaluate ✓
[160] eval ode::gradient n=7500,s=10 , 0.002625267 s evaluate ✓
[164] eval ode::gradient n=15000,s=5 , 0.002022904 s evaluate ✓
[168] eval ode::gradient n=40000,s=2 , 0.003286841 s evaluate ✓
[172] eval ode::gradient n=2500,s=40 , 0.002108175 s evaluate ✓
[176] eval ode::gradient n=5000,s=20 , 0.003560460 s evaluate ✓
[180] eval ode::gradient n=10000,s=10 , 0.003522960 s evaluate ✓
[184] eval ode::gradient n=20000,s=5 , 0.003072418 s evaluate ✓
[188] eval ode::gradient n=50000,s=2 , 0.005539189 s evaluate ✓
[192] eval ode::gradient n=7500,s=15 , 0.003382810 s evaluate ✓
[196] eval ode::gradient n=2500,s=50 , 0.003853609 s evaluate ✓
[200] eval ode::gradient n=5000,s=25 , 0.002557163 s evaluate ✓
[204] eval ode::gradient n=25000,s=5 , 0.003952183 s evaluate ✓
[208] eval ode::gradient n=5000,s=30 , 0.003464519 s evaluate ✓
[212] eval ode::gradient n=7500,s=20 , 0.004162415 s evaluate ✓
[216] eval ode::gradient n=10000,s=15 , 0.005055640 s evaluate ✓
[220] eval ode::gradient n=15000,s=10 , 0.004609347 s evaluate ✓
[224] eval ode::gradient n=30000,s=5 , 0.004612809 s evaluate ✓
[228] eval ode::gradient n=7500,s=25 , 0.004273916 s evaluate ✓
[232] eval ode::gradient n=5000,s=40 , 0.003894836 s evaluate ✓
[236] eval ode::gradient n=10000,s=20 , 0.006311971 s evaluate ✓
[240] eval ode::gradient n=20000,s=10 , 0.006709727 s evaluate ✓
[244] eval ode::gradient n=40000,s=5 , 0.007379419 s evaluate ✓
[248] eval ode::gradient n=7500,s=30 , 0.006490325 s evaluate ✓
[252] eval ode::gradient n=15000,s=15 , 0.007061285 s evaluate ✓
[256] eval ode::gradient n=5000,s=50 , 0.005824529 s evaluate ✓
[260] eval ode::gradient n=10000,s=25 , 0.006961035 s evaluate ✓
[264] eval ode::gradient n=25000,s=10 , 0.010562425 s evaluate ✓
[268] eval ode::gradient n=50000,s=5 , 0.010976077 s evaluate ✓
[272] eval ode::gradient n=7500,s=40 , 0.007238762 s evaluate ✓
[276] eval ode::gradient n=10000,s=30 , 0.007827026 s evaluate ✓
