[4] eval ode::gradient n=1000,s=1 , 0.000581639 s evaluate ✓
[8] eval ode::gradient n=1000,s=2 , 0.000975714 s evaluate ✓
[12] eval ode::gradient n=2500,s=1 , 0.001350892 s evaluate ✓
[16] eval ode::gradient n=1000,s=5 , 0.002388434 s evaluate ✓
[20] eval ode::gradient n=2500,s=2 , 0.002984497 s evaluate ✓
[24] eval ode::gradient n=5000,s=1 , 0.003368651 s evaluate ✓
[28] eval ode::gradient n=7500,s=1 , 0.006055171 s evaluate ✓
[32] eval ode::gradient n=1000,s=10 , 0.004032414 s evaluate ✓
[36] eval ode::gradient n=5000,s=2 , 0.004914030 s evaluate ✓
[40] eval ode::gradient n=10000,s=1 , 0.007552443 s evaluate ✓
[44] eval ode::gradient n=2500,s=5 , 0.011064890 s evaluate ✓
[48] eval ode::gradient n=1000,s=15 , 0.006724745 s evaluate ✓
[52] eval ode::gradient n=7500,s=2 , 0.006374916 s evaluate ✓
[56] eval ode::gradient n=15000,s=1 , 0.011485050 s evaluate ✓
[60] eval ode::gradient n=1000,s=20 , 0.011149322 s evaluate ✓
[64] eval ode::gradient n=10000,s=2 , 0.013358779 s evaluate ✓
[68] eval ode::gradient n=20000,s=1 , 0.014359141 s evaluate ✓
[72] eval ode::gradient n=1000,s=25 , 0.010803135 s evaluate ✓
[76] eval ode::gradient n=2500,s=10 , 0.010009464 s evaluate ✓
[80] eval ode::gradient n=5000,s=5 , 0.009250149 s evaluate ✓
[84] eval ode::gradient n=25000,s=1 , 0.016617313 s evaluate ✓
[88] eval ode::gradient n=1000,s=30 , 0.011254436 s evaluate ✓
[92] eval ode::gradient n=15000,s=2 , 0.013693287 s evaluate ✓
[96] eval ode::gradient n=30000,s=1 , 0.017929904 s evaluate ✓
[100] eval ode::gradient n=2500,s=15 , 0.026155912 s evaluate ✓
[104] eval ode::gradient n=7500,s=5 , 0.023267918 s evaluate ✓
[108] eval ode::gradient n=1000,s=40 , 0.018696221 s evaluate ✓
[112] eval ode::gradient n=20000,s=2 , 0.027200241 s evaluate ✓
[116] eval ode::gradient n=40000,s=1 , 0.076416200 s evaluate ✓
[120] eval ode::gradient n=1000,s=50 , 0.030541786 s evaluate ✓
[124] eval ode::gradient n=2500,s=20 , 0.045915200 s evaluate ✓
[128] eval ode::gradient n=5000,s=10 , 0.048457431 s evaluate ✓
[132] eval ode::gradient n=10000,s=5 , 0.079903509 s evaluate ✓
[136] eval ode::gradient n=25000,s=2 , 0.066226245 s evaluate ✓
[140] eval ode::gradient n=50000,s=1 , 0.069754583 s evaluate ✓
[144] eval ode::gradient n=30000,s=2 , 0.077053448 s evaluate ✓
[148] eval ode::gradient n=2500,s=25 , 0.040253871 s evaluate ✓
[152] eval ode::gradient n=2500,s=30 , 0.059033597 s evaluate ✓
[156] eval ode::gradient n=5000,s=15 , 0.459993433 s evaluate ✓
[160] eval ode::gradient n=7500,s=10 , 0.035451016 s evaluate ✓
[164] eval ode::gradient n=15000,s=5 , 0.058750568 s evaluate ✓
[168] eval ode::gradient n=40000,s=2 , 0.128210494 s evaluate ✓
[172] eval ode::gradient n=2500,s=40 , 0.441053333 s evaluate ✓
[176] eval ode::gradient n=5000,s=20 , 0.061010256 s evaluate ✓
[180] eval ode::gradient n=10000,s=10 , 0.474226902 s evaluate ✓
[184] eval ode::gradient n=20000,s=5 , 0.508922601 s evaluate ✓
[188] eval ode::gradient n=50000,s=2 , 0.745063188 s evaluate ✓
[192] eval ode::gradient n=7500,s=15 , 0.083528613 s evaluate ✓
[196] eval ode::gradient n=2500,s=50 , 0.068043320 s evaluate ✓
[200] eval ode::gradient n=5000,s=25 , 0.058904475 s evaluate ✓
[204] eval ode::gradient n=25000,s=5 , 0.086379412 s evaluate ✓
[208] eval ode::gradient n=5000,s=30 , 0.076317016 s evaluate ✓
[212] eval ode::gradient n=7500,s=20 , 0.100780205 s evaluate ✓
[216] eval ode::gradient n=10000,s=15 , 0.105080177 s evaluate ✓
[220] eval ode::gradient n=15000,s=10 , 0.120386160 s evaluate ✓
[224] eval ode::gradient n=30000,s=5 , 0.131115873 s evaluate ✓
[228] eval ode::gradient n=7500,s=25 , 0.102690476 s evaluate ✓
[232] eval ode::gradient n=5000,s=40 , 0.126493056 s evaluate ✓
[236] eval ode::gradient n=10000,s=20 , 0.100550583 s evaluate ✓
[240] eval ode::gradient n=20000,s=10 , 0.091863131 s evaluate ✓
[244] eval ode::gradient n=40000,s=5 , 0.119438552 s evaluate ✓
[248] eval ode::gradient n=7500,s=30 , 0.146680952 s evaluate ✓
[252] eval ode::gradient n=15000,s=15 , 0.100948252 s evaluate ✓
[256] eval ode::gradient n=5000,s=50 , 0.118027778 s evaluate ✓
[260] eval ode::gradient n=10000,s=25 , 0.167305556 s evaluate ✓
[264] eval ode::gradient n=25000,s=10 , 0.135727273 s evaluate ✓
[268] eval ode::gradient n=50000,s=5 , 0.167263528 s evaluate ✓
[272] eval ode::gradient n=7500,s=40 , 0.133713757 s evaluate ✓
[276] eval ode::gradient n=10000,s=30 , 0.149032407 s evaluate ✓
[280] eval ode::gradient n=15000,s=20 , 0.158541667 s evaluate ✓
[284] eval ode::gradient n=20000,s=15 , 0.141133333 s evaluate ✓
[288] eval ode::gradient n=30000,s=10 , 0.171759259 s evaluate ✓
[292] eval ode::gradient n=7500,s=50 , 0.291388889 s evaluate ✓
[296] eval ode::gradient n=15000,s=25 , 0.216847619 s evaluate ✓
[300] eval ode::gradient n=25000,s=15 , 0.267277778 s evaluate ✓
[304] eval ode::gradient n=10000,s=40 , 0.274900000 s evaluate ✓
[308] eval ode::gradient n=20000,s=20 , 0.235609524 s evaluate ✓
[312] eval ode::gradient n=40000,s=10 , 0.524579365 s evaluate ✓
[316] eval ode::gradient n=15000,s=30 , 0.241428571 s evaluate ✓
[320] eval ode::gradient n=30000,s=15 , 0.384333333 s evaluate ✓
[324] eval ode::gradient n=10000,s=50 , 0.422366667 s evaluate ✓
[328] eval ode::gradient n=20000,s=25 , 0.427194444 s evaluate ✓
[332] eval ode::gradient n=25000,s=20 , 0.479150000 s evaluate ✓
[336] eval ode::gradient n=50000,s=10 , 0.337766667 s evaluate ✓
[340] eval ode::gradient n=15000,s=40 , 0.945333333 s evaluate ✓
[344] eval ode::gradient n=20000,s=30 , 0.432066667 s evaluate ✓
[348] eval ode::gradient n=30000,s=20 , 0.428916667 s evaluate ✓
[352] eval ode::gradient n=40000,s=15 , 0.459116667 s evaluate ✓
[356] eval ode::gradient n=25000,s=25 , 0.774444444 s evaluate ✓
[360] eval ode::gradient n=15000,s=50 , 0.987555556 s evaluate ✓
[364] eval ode::gradient n=25000,s=30 , 0.836055556 s evaluate ✓
[368] eval ode::gradient n=30000,s=25 , 1.134555556 s evaluate ✓
[372] eval ode::gradient n=50000,s=15 , 1.076555556 s evaluate ✓
[376] eval ode::gradient n=20000,s=40 , 1.047833333 s evaluate ✓
[380] eval ode::gradient n=40000,s=20 , 0.940833333 s evaluate ✓
[384] eval ode::gradient n=30000,s=30 , 1.363833333 s evaluate ✓
[388] eval ode::gradient n=20000,s=50 , 1.374833333 s evaluate ✓
[392] eval ode::gradient n=25000,s=40 , 0.855000000 s evaluate ✓
[396] eval ode::gradient n=40000,s=25 , 0.672333333 s evaluate ✓
[400] eval ode::gradient n=50000,s=20 , 0.799333333 s evaluate ✓
[404] eval ode::gradient n=30000,s=40 , 1.950000000 s evaluate ✓
[408] eval ode::gradient n=40000,s=30 , 1.200666667 s evaluate ✓
[412] eval ode::gradient n=25000,s=50 , 0.948666667 s evaluate ✓
[416] eval ode::gradient n=50000,s=25 , 1.203666667 s evaluate ✓
[420] eval ode::gradient n=30000,s=50 , 3.194333333 s evaluate ✓
[424] eval ode::gradient n=50000,s=30 , 2.056333333 s evaluate ✓
[428] eval ode::gradient n=40000,s=40 , 2.734833333 s evaluate ✓
[432] eval ode::gradient n=40000,s=50 , 3.874000000 s evaluate ✓
[436] eval ode::gradient n=50000,s=40 , 1.332166667 s evaluate ✓
[440] eval ode::gradient n=50000,s=50 , 5.159000000 s evaluate ✓
