[4] eval det::gradient 5_run0 , 0.001551392 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000161699 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000131157 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000228985 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.008501999 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000885873 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000351409 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.001953196 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000482181 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000398670 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000093997 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000439426 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000125135 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000141879 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000390188 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000352389 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.001055622 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.000538052 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.000507837 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.000477884 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.000423896 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.000461576 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.000480736 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.000892496 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.000485021 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.383671304 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.000512934 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.001201277 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.000459857 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.000490647 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.001730757 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.000502994 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.000530540 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.000600096 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.003420533 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.003116569 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.005072396 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.002710853 s evaluate ✓
[156] eval det::gradient 7_run4 , 2.194705406 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.003067976 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.003778636 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.002860918 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.005972689 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.003308030 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.003486014 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.003309480 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.003858105 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.003607481 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.004993476 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.002680619 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.003056851 s evaluate ✓
[208] eval det::gradient 8_run0 , 1.119807637 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.020814467 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.019420126 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.022998106 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.428799267 s evaluate ✓
[228] eval det::gradient 8_run5 , 0.024161054 s evaluate ✓
[232] eval det::gradient 8_run6 , 0.025362469 s evaluate ✓
[236] eval det::gradient 8_run7 , 0.048421710 s evaluate ✓
[240] eval det::gradient 8_run8 , 0.023678175 s evaluate ✓
[244] eval det::gradient 8_run9 , 0.191590852 s evaluate ✓
[248] eval det::gradient 8_run10 , 0.408250751 s evaluate ✓
[252] eval det::gradient 8_run11 , 0.070976493 s evaluate ✓
[256] eval det::gradient 8_run12 , 0.025506062 s evaluate ✓
[260] eval det::gradient 8_run13 , 0.022929979 s evaluate ✓
[264] eval det::gradient 8_run14 , 0.026448495 s evaluate ✓
[268] eval det::gradient 8_run15 , 0.024557540 s evaluate ✓
[272] eval det::gradient 8_run16 , 0.020854433 s evaluate ✓
[276] eval det::gradient 9_run0 , 4.279500000 s evaluate ✓
[280] eval det::gradient 9_run1 , 2.079277778 s evaluate ✓
[284] eval det::gradient 9_run2 , 0.181444444 s evaluate ✓
[288] eval det::gradient 9_run3 , 1.813444444 s evaluate ✓
[292] eval det::gradient 9_run4 , 0.209205556 s evaluate ✓
[296] eval det::gradient 9_run5 , 0.409800000 s evaluate ✓
[300] eval det::gradient 9_run6 , 0.211333333 s evaluate ✓
[304] eval det::gradient 9_run7 , 0.517000000 s evaluate ✓
[308] eval det::gradient 9_run8 , 0.232227778 s evaluate ✓
[312] eval det::gradient 9_run9 , 0.186975000 s evaluate ✓
[316] eval det::gradient 9_run10 , 0.214488889 s evaluate ✓
[320] eval det::gradient 9_run11 , 0.349777778 s evaluate ✓
[324] eval det::gradient 9_run12 , 0.711888889 s evaluate ✓
[328] eval det::gradient 9_run13 , 0.299919048 s evaluate ✓
[332] eval det::gradient 9_run14 , 0.350105556 s evaluate ✓
[336] eval det::gradient 9_run15 , 0.187828571 s evaluate ✓
[340] eval det::gradient 9_run16 , 0.166023810 s evaluate ✓
[344] eval det::gradient 10_run0 , 297.774666667 s evaluate ✓
[348] eval det::gradient 10_run1 , 113.113000000 s evaluate ✓
[352] eval det::gradient 10_run2 , 19.836333333 s evaluate ✓
[356] eval det::gradient 10_run3 , 3.855000000 s evaluate ✓
[360] eval det::gradient 10_run4 , 33.007000000 s evaluate ✓
[364] eval det::gradient 10_run5 , 14.994000000 s evaluate ✓
[368] eval det::gradient 10_run6 , 3.488666667 s evaluate ✓
[372] eval det::gradient 10_run7 , 43.252333333 s evaluate ✓
[376] eval det::gradient 10_run8 , 3.369666667 s evaluate ✓
[380] eval det::gradient 10_run9 , 19.666000000 s evaluate ✓
[384] eval det::gradient 10_run10 , 7.297333333 s evaluate ✓
[388] eval det::gradient 10_run11 , 4.706000000 s evaluate ✓
[392] eval det::gradient 10_run12 , 3.744000000 s evaluate ✓
[396] eval det::gradient 10_run13 , 3.348000000 s evaluate ✓
[400] eval det::gradient 10_run14 , 11.377666667 s evaluate ✓
[404] eval det::gradient 10_run15 , 5.824000000 s evaluate ✓
[408] eval det::gradient 10_run16 , 4.615000000 s evaluate ✓
