[4] eval det::gradient 5_run0 , 0.000851324 s evaluate ✓
[8] eval det::gradient 5_run1 , 0.000951587 s evaluate ✓
[12] eval det::gradient 5_run2 , 0.000976958 s evaluate ✓
[16] eval det::gradient 5_run3 , 0.000966202 s evaluate ✓
[20] eval det::gradient 5_run4 , 0.000884000 s evaluate ✓
[24] eval det::gradient 5_run5 , 0.000996305 s evaluate ✓
[28] eval det::gradient 5_run6 , 0.000911941 s evaluate ✓
[32] eval det::gradient 5_run7 , 0.000963372 s evaluate ✓
[36] eval det::gradient 5_run8 , 0.000846247 s evaluate ✓
[40] eval det::gradient 5_run9 , 0.000826388 s evaluate ✓
[44] eval det::gradient 5_run10 , 0.000876238 s evaluate ✓
[48] eval det::gradient 5_run11 , 0.000981716 s evaluate ✓
[52] eval det::gradient 5_run12 , 0.000868645 s evaluate ✓
[56] eval det::gradient 5_run13 , 0.000923961 s evaluate ✓
[60] eval det::gradient 5_run14 , 0.000947070 s evaluate ✓
[64] eval det::gradient 5_run15 , 0.000877868 s evaluate ✓
[68] eval det::gradient 5_run16 , 0.000872029 s evaluate ✓
[72] eval det::gradient 6_run0 , 0.002466775 s evaluate ✓
[76] eval det::gradient 6_run1 , 0.002401728 s evaluate ✓
[80] eval det::gradient 6_run2 , 0.002362363 s evaluate ✓
[84] eval det::gradient 6_run3 , 0.002392483 s evaluate ✓
[88] eval det::gradient 6_run4 , 0.002486001 s evaluate ✓
[92] eval det::gradient 6_run5 , 0.002428645 s evaluate ✓
[96] eval det::gradient 6_run6 , 0.002388667 s evaluate ✓
[100] eval det::gradient 6_run7 , 0.002438650 s evaluate ✓
[104] eval det::gradient 6_run8 , 0.002390097 s evaluate ✓
[108] eval det::gradient 6_run9 , 0.002586364 s evaluate ✓
[112] eval det::gradient 6_run10 , 0.002449990 s evaluate ✓
[116] eval det::gradient 6_run11 , 0.002410316 s evaluate ✓
[120] eval det::gradient 6_run12 , 0.002655933 s evaluate ✓
[124] eval det::gradient 6_run13 , 0.002629218 s evaluate ✓
[128] eval det::gradient 6_run14 , 0.002401174 s evaluate ✓
[132] eval det::gradient 6_run15 , 0.002591973 s evaluate ✓
[136] eval det::gradient 6_run16 , 0.002486774 s evaluate ✓
[140] eval det::gradient 7_run0 , 0.006912986 s evaluate ✓
[144] eval det::gradient 7_run1 , 0.006973895 s evaluate ✓
[148] eval det::gradient 7_run2 , 0.006808148 s evaluate ✓
[152] eval det::gradient 7_run3 , 0.006950860 s evaluate ✓
[156] eval det::gradient 7_run4 , 0.007019630 s evaluate ✓
[160] eval det::gradient 7_run5 , 0.007009886 s evaluate ✓
[164] eval det::gradient 7_run6 , 0.006955787 s evaluate ✓
[168] eval det::gradient 7_run7 , 0.007008122 s evaluate ✓
[172] eval det::gradient 7_run8 , 0.006835872 s evaluate ✓
[176] eval det::gradient 7_run9 , 0.006796957 s evaluate ✓
[180] eval det::gradient 7_run10 , 0.006996916 s evaluate ✓
[184] eval det::gradient 7_run11 , 0.006998874 s evaluate ✓
[188] eval det::gradient 7_run12 , 0.006794112 s evaluate ✓
[192] eval det::gradient 7_run13 , 0.006984849 s evaluate ✓
[196] eval det::gradient 7_run14 , 0.006668000 s evaluate ✓
[200] eval det::gradient 7_run15 , 0.007211547 s evaluate ✓
[204] eval det::gradient 7_run16 , 0.006949189 s evaluate ✓
[208] eval det::gradient 8_run0 , 0.030434186 s evaluate ✓
[212] eval det::gradient 8_run1 , 0.027810016 s evaluate ✓
[216] eval det::gradient 8_run2 , 0.026655678 s evaluate ✓
[220] eval det::gradient 8_run3 , 0.027243967 s evaluate ✓
[224] eval det::gradient 8_run4 , 0.026521199 s evaluate ✓
