[4] eval gmm::jacobian 2_2_1000 , 0.004011497 s evaluate ✓
[8] eval gmm::jacobian 2_4_1000 , 0.005886640 s evaluate ✓
[12] eval gmm::jacobian 4_2_1000 , 0.005882291 s evaluate ✓
[16] eval gmm::jacobian 2_6_1000 , 0.007464133 s evaluate ✓
[20] eval gmm::jacobian 6_2_1000 , 0.008941820 s evaluate ✓
[24] eval gmm::jacobian 2_8_1000 , 0.009511020 s evaluate ✓
[28] eval gmm::jacobian 4_4_1000 , 0.010752809 s evaluate ✓
[32] eval gmm::jacobian 8_2_1000 , 0.014121351 s evaluate ✓
[36] eval gmm::jacobian 2_10_1000 , 0.011388372 s evaluate ✓
[40] eval gmm::jacobian 10_2_1000 , 0.018889012 s evaluate ✓
[44] eval gmm::jacobian 4_6_1000 , 0.015932967 s evaluate ✓
[48] eval gmm::jacobian 6_4_1000 , 0.017532407 s evaluate ✓
[52] eval gmm::jacobian 12_2_1000 , 0.030378788 s evaluate ✓
[56] eval gmm::jacobian 2_15_1000 , 0.020599105 s evaluate ✓
[60] eval gmm::jacobian 4_8_1000 , 0.018309524 s evaluate ✓
[64] eval gmm::jacobian 8_4_1000 , 0.025474022 s evaluate ✓
[68] eval gmm::jacobian 16_2_1000 , 0.040223913 s evaluate ✓
[72] eval gmm::jacobian 6_6_1000 , 0.030164286 s evaluate ✓
[76] eval gmm::jacobian 2_20_1000 , 0.029906956 s evaluate ✓
[80] eval gmm::jacobian 4_10_1000 , 0.022865000 s evaluate ✓
[84] eval gmm::jacobian 10_4_1000 , 0.032405229 s evaluate ✓
[88] eval gmm::jacobian 20_2_1000 , 0.062559524 s evaluate ✓
[92] eval gmm::jacobian 6_8_1000 , 0.030089469 s evaluate ✓
[96] eval gmm::jacobian 8_6_1000 , 0.034890625 s evaluate ✓
[100] eval gmm::jacobian 12_4_1000 , 0.044463462 s evaluate ✓
[104] eval gmm::jacobian 24_2_1000 , 0.126571429 s evaluate ✓
[108] eval gmm::jacobian 2_25_1000 , 0.026212678 s evaluate ✓
[112] eval gmm::jacobian 28_2_1000 , 0.117583333 s evaluate ✓
[116] eval gmm::jacobian 2_30_1000 , 0.038111111 s evaluate ✓
[120] eval gmm::jacobian 4_15_1000 , 0.046638158 s evaluate ✓
[124] eval gmm::jacobian 6_10_1000 , 0.052366667 s evaluate ✓
[128] eval gmm::jacobian 10_6_1000 , 0.069283654 s evaluate ✓
[132] eval gmm::jacobian 8_8_1000 , 0.065704453 s evaluate ✓
[136] eval gmm::jacobian 16_4_1000 , 0.100393162 s evaluate ✓
[140] eval gmm::jacobian 32_2_1000 , 0.196154762 s evaluate ✓
[144] eval gmm::jacobian 12_6_1000 , 0.100341667 s evaluate ✓
[148] eval gmm::jacobian 2_40_1000 , 0.052454545 s evaluate ✓
[152] eval gmm::jacobian 4_20_1000 , 0.060492982 s evaluate ✓
[156] eval gmm::jacobian 8_10_1000 , 0.081000000 s evaluate ✓
[160] eval gmm::jacobian 10_8_1000 , 0.085632867 s evaluate ✓
[164] eval gmm::jacobian 20_4_1000 , 0.194416667 s evaluate ✓
[168] eval gmm::jacobian 6_15_1000 , 0.082496753 s evaluate ✓
[172] eval gmm::jacobian 12_8_1000 , 0.204850000 s evaluate ✓
[176] eval gmm::jacobian 16_6_1000 , 0.186022222 s evaluate ✓
[180] eval gmm::jacobian 24_4_1000 , 0.256708333 s evaluate ✓
[184] eval gmm::jacobian 2_50_1000 , 0.067972222 s evaluate ✓
[188] eval gmm::jacobian 4_25_1000 , 0.093744444 s evaluate ✓
[192] eval gmm::jacobian 10_10_1000 , 0.146757576 s evaluate ✓
[196] eval gmm::jacobian 28_4_1000 , 0.408666667 s evaluate ✓
[200] eval gmm::jacobian 4_30_1000 , 0.098463636 s evaluate ✓
[204] eval gmm::jacobian 6_20_1000 , 0.108835227 s evaluate ✓
[208] eval gmm::jacobian 8_15_1000 , 0.127500000 s evaluate ✓
[212] eval gmm::jacobian 12_10_1000 , 0.143446429 s evaluate ✓
[216] eval gmm::jacobian 20_6_1000 , 0.242800000 s evaluate ✓
[220] eval gmm::jacobian 16_8_1000 , 0.194616667 s evaluate ✓
[224] eval gmm::jacobian 32_4_1000 , 0.433500000 s evaluate ✓
[228] eval gmm::jacobian 24_6_1000 , 0.414000000 s evaluate ✓
[232] eval gmm::jacobian 6_25_1000 , 0.120128571 s evaluate ✓
[236] eval gmm::jacobian 10_15_1000 , 0.186250000 s evaluate ✓
[240] eval gmm::jacobian 4_40_1000 , 0.166344444 s evaluate ✓
[244] eval gmm::jacobian 8_20_1000 , 0.230428571 s evaluate ✓
[248] eval gmm::jacobian 16_10_1000 , 0.309125000 s evaluate ✓
[252] eval gmm::jacobian 20_8_1000 , 0.323875000 s evaluate ✓
[256] eval gmm::jacobian 28_6_1000 , 0.430833333 s evaluate ✓
[260] eval gmm::jacobian 6_30_1000 , 0.138767857 s evaluate ✓
[264] eval gmm::jacobian 12_15_1000 , 0.294500000 s evaluate ✓
[268] eval gmm::jacobian 24_8_1000 , 0.571583333 s evaluate ✓
[272] eval gmm::jacobian 32_6_1000 , 0.587000000 s evaluate ✓
[276] eval gmm::jacobian 4_50_1000 , 0.135047619 s evaluate ✓
[280] eval gmm::jacobian 8_25_1000 , 0.186871429 s evaluate ✓
[284] eval gmm::jacobian 10_20_1000 , 0.237150000 s evaluate ✓
[288] eval gmm::jacobian 20_10_1000 , 0.393708333 s evaluate ✓
[292] eval gmm::jacobian 28_8_1000 , 1.215000000 s evaluate ✓
[296] eval gmm::jacobian 6_40_1000 , 0.351833333 s evaluate ✓
[300] eval gmm::jacobian 8_30_1000 , 0.782500000 s evaluate ✓
[304] eval gmm::jacobian 12_20_1000 , 0.595250000 s evaluate ✓
[308] eval gmm::jacobian 16_15_1000 , 0.354916667 s evaluate ✓
[312] eval gmm::jacobian 24_10_1000 , 0.565166667 s evaluate ✓
[316] eval gmm::jacobian 10_25_1000 , 0.252450000 s evaluate ✓
[320] eval gmm::jacobian 32_8_1000 , 1.736000000 s evaluate ✓
[324] eval gmm::jacobian 28_10_1000 , 1.050500000 s evaluate ✓
[328] eval gmm::jacobian 6_50_1000 , 0.236650000 s evaluate ✓
[332] eval gmm::jacobian 10_30_1000 , 0.300375000 s evaluate ✓
[336] eval gmm::jacobian 12_25_1000 , 0.349291667 s evaluate ✓
[340] eval gmm::jacobian 20_15_1000 , 0.584583333 s evaluate ✓
[344] eval gmm::jacobian 8_40_1000 , 0.341166667 s evaluate ✓
[348] eval gmm::jacobian 16_20_1000 , 0.504500000 s evaluate ✓
[352] eval gmm::jacobian 32_10_1000 , 1.995000000 s evaluate ✓
[356] eval gmm::jacobian 12_30_1000 , 0.548750000 s evaluate ✓
[360] eval gmm::jacobian 24_15_1000 , 0.824750000 s evaluate ✓
[364] eval gmm::jacobian 8_50_1000 , 0.368666667 s evaluate ✓
[368] eval gmm::jacobian 10_40_1000 , 0.405666667 s evaluate ✓
[372] eval gmm::jacobian 16_25_1000 , 0.615250000 s evaluate ✓
[376] eval gmm::jacobian 20_20_1000 , 0.728000000 s evaluate ✓
[380] eval gmm::jacobian 28_15_1000 , 2.652000000 s evaluate ✓
[384] eval gmm::jacobian 12_40_1000 , 0.595750000 s evaluate ✓
[388] eval gmm::jacobian 16_30_1000 , 0.662750000 s evaluate ✓
[392] eval gmm::jacobian 24_20_1000 , 1.827000000 s evaluate ✓
[396] eval gmm::jacobian 32_15_1000 , 3.881500000 s evaluate ✓
[400] eval gmm::jacobian 10_50_1000 , 0.533916667 s evaluate ✓
[404] eval gmm::jacobian 20_25_1000 , 0.897750000 s evaluate ✓
[408] eval gmm::jacobian 28_20_1000 , 2.071500000 s evaluate ✓
[412] eval gmm::jacobian 12_50_1000 , 0.921000000 s evaluate ✓
[416] eval gmm::jacobian 20_30_1000 , 3.659000000 s evaluate ✓
[420] eval gmm::jacobian 24_25_1000 , 2.155000000 s evaluate ✓
[424] eval gmm::jacobian 16_40_1000 , 1.912000000 s evaluate ✓
[428] eval gmm::jacobian 32_20_1000 , 7.105500000 s evaluate ✓
[432] eval gmm::jacobian 28_25_1000 , 2.682000000 s evaluate ✓
[436] eval gmm::jacobian 24_30_1000 , 2.559000000 s evaluate ✓
[440] eval gmm::jacobian 16_50_1000 , 1.949500000 s evaluate ✓
[444] eval gmm::jacobian 20_40_1000 , 2.079000000 s evaluate ✓
[448] eval gmm::jacobian 32_25_1000 , 8.897500000 s evaluate ✓
[452] eval gmm::jacobian 28_30_1000 , 3.796000000 s evaluate ✓
[456] eval gmm::jacobian 24_40_1000 , 2.970000000 s evaluate ✓
[460] eval gmm::jacobian 32_30_1000 , 9.357000000 s evaluate ✓
[464] eval gmm::jacobian 20_50_1000 , 2.972000000 s evaluate ✓
[468] eval gmm::jacobian 28_40_1000 , 5.465500000 s evaluate ✓
[472] eval gmm::jacobian 24_50_1000 , 3.945000000 s evaluate ✓
[476] eval gmm::jacobian 32_40_1000 , 13.336000000 s evaluate ✓
[480] eval gmm::jacobian 28_50_1000 , 6.154000000 s evaluate ✓
[484] eval gmm::jacobian 32_50_1000 , 13.631500000 s evaluate ✓
