[4] eval xad::gradient 2_2_1000 , 0.010855887 s evaluate ✓
[8] eval xad::gradient 2_4_1000 , 0.023568598 s evaluate ✓
[12] eval xad::gradient 4_2_1000 , 0.023858981 s evaluate ✓
[16] eval xad::gradient 2_6_1000 , 0.032075758 s evaluate ✓
[20] eval xad::gradient 6_2_1000 , 0.074091973 s evaluate ✓
[24] eval xad::gradient 2_8_1000 , 0.056375350 s evaluate ✓
[28] eval xad::gradient 4_4_1000 , 0.048803030 s evaluate ✓
[32] eval xad::gradient 8_2_1000 , 0.060709064 s evaluate ✓
[36] eval xad::gradient 2_10_1000 , 0.052625000 s evaluate ✓
[40] eval xad::gradient 10_2_1000 , 0.088769231 s evaluate ✓
[44] eval xad::gradient 4_6_1000 , 0.067198529 s evaluate ✓
[48] eval xad::gradient 6_4_1000 , 0.080209524 s evaluate ✓
[52] eval xad::gradient 12_2_1000 , 0.143375000 s evaluate ✓
[56] eval xad::gradient 2_15_1000 , 0.077714286 s evaluate ✓
[60] eval xad::gradient 4_8_1000 , 0.086461538 s evaluate ✓
[64] eval xad::gradient 8_4_1000 , 0.128822222 s evaluate ✓
[68] eval xad::gradient 16_2_1000 , 0.227583333 s evaluate ✓
[72] eval xad::gradient 6_6_1000 , 0.126894444 s evaluate ✓
[76] eval xad::gradient 2_20_1000 , 0.105536364 s evaluate ✓
[80] eval xad::gradient 4_10_1000 , 0.113850000 s evaluate ✓
[84] eval xad::gradient 10_4_1000 , 0.181785714 s evaluate ✓
[88] eval xad::gradient 20_2_1000 , 0.416500000 s evaluate ✓
[92] eval xad::gradient 6_8_1000 , 0.200900000 s evaluate ✓
[96] eval xad::gradient 8_6_1000 , 0.235500000 s evaluate ✓
[100] eval xad::gradient 12_4_1000 , 0.323100000 s evaluate ✓
[104] eval xad::gradient 24_2_1000 , 0.625166667 s evaluate ✓
[108] eval xad::gradient 2_25_1000 , 0.150116071 s evaluate ✓
[112] eval xad::gradient 28_2_1000 , 0.876750000 s evaluate ✓
[116] eval xad::gradient 2_30_1000 , 0.191202381 s evaluate ✓
[120] eval xad::gradient 4_15_1000 , 0.192250000 s evaluate ✓
[124] eval xad::gradient 6_10_1000 , 0.236666667 s evaluate ✓
[128] eval xad::gradient 10_6_1000 , 0.341725000 s evaluate ✓
[132] eval xad::gradient 8_8_1000 , 0.303250000 s evaluate ✓
[136] eval xad::gradient 16_4_1000 , 0.603666667 s evaluate ✓
[140] eval xad::gradient 32_2_1000 , 1.291000000 s evaluate ✓
[144] eval xad::gradient 12_6_1000 , 0.571500000 s evaluate ✓
[148] eval xad::gradient 2_40_1000 , 0.291500000 s evaluate ✓
[152] eval xad::gradient 4_20_1000 , 0.272225000 s evaluate ✓
[156] eval xad::gradient 8_10_1000 , 0.422791667 s evaluate ✓
